match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt
15280993,away,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,False,30.0,23.0,3.0,1.0,0.0,9.0,10.0,13.0,19.0,1.0,0.0,1.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,72.0,41.0,6.5,7.0,0.05,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,2,6,76.66666666666667,33.33333333333333,0.0,100.0,,,,1.0,1.0
15280993,away,36019,FK Mornar Bar,95583,Stefan Denković,stefan-denkovic,M,7,False,29.0,16.0,2.0,2.0,0.0,2.0,3.0,14.0,26.0,6.0,1.0,1.0,0.0,5.0,6.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,,,,,,90.0,43.0,7.4,14.0,0.02,0.05,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,6,4,55.172413793103445,100.0,16.666666666666664,100.0,,,1.0,,
15280993,away,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,14.0,6.0,0.0,0.0,0.0,4.0,4.0,2.0,10.0,0.0,0.0,5.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,90.0,26.0,6.4,18.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,6,11,2,9,42.857142857142854,,,,,,,2.0,
15280993,away,36019,FK Mornar Bar,1214474,Nikola Vuković,nikola-vukovic,D,14,True,25.0,15.0,6.0,2.0,0.0,10.0,13.0,4.0,11.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,45.0,31.0,6.6,11.0,0.0,0.06,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,60.0,33.33333333333333,50.0,50.0,,,2.0,1.0,1.0
15280993,away,36019,FK Mornar Bar,154655,Darko Zorić,darko-zoric,M,18,True,8.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.0,11.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,100.0,100.0,,,,,,1.0,
15280993,away,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,D,11,True,11.0,9.0,4.0,2.0,0.0,6.0,8.0,3.0,3.0,0.0,0.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,24.0,15.0,6.8,7.0,0.04,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,81.81818181818183,50.0,,100.0,,,,,
15280993,away,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,True,5.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,18.0,9.0,6.7,0.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,,,,
15280993,away,36019,FK Mornar Bar,357708,Nikola Vujnović,nikola-vujnovic,M,97,True,5.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,18.0,5.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,80.0,,,,,,1.0,,
15280993,away,36019,FK Mornar Bar,187341,Stefan Popović,stefan-popovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
15280993,away,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
15280993,away,1138707,FK Mornar Bar,1606675,Luka Perović,luka-perovic,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
15280993,away,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
