match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalTackle,wonTackle,onTargetScoringAttempt,goals,shotValueNormalized,dispossessed,wonContest,bigChanceCreated,blockedScoringAttempt,outfielderBlock,totalOffside,shotOffTarget,hitWoodwork,ownGoals,bigChanceMissed,errorLeadToAGoal
14015628,away,308176,FK IMT Beograd,1917883,Oriyomi Lebi,oriyomi-lebi,F,19,False,9.0,8.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,2.0,6.0,,2.0,,,,,,73.0,21.0,7.3,5.0,57.935503820476,7.0,10.134944228718,1.0,,"{'original': 7.3, 'alternative': 7.3}",1,0.67,0.28,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,88.88888888888889,100.0,,100.0,,,,1.0,6.0,,1.0,,2.0,3.0,3.0,21.441576253487,21.572315800581,2.0,,,1.0,,-0.01,2.0,1.0,1.0,,,2.0,,,,1.0,
14015628,away,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,True,4.0,3.0,,,1.0,2.0,2.0,1.0,2.0,3.0,4.0,,,,,,,,45.0,12.0,9.2,3.0,17.156666744966,3.0,-4.0763332822153,0.0,,"{'original': 9.2, 'alternative': 9.1}",4,0.25,-0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,75.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,3.0,2.0,0.68,,,1.0,,,,1.0,,,,
14015628,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,9.0,6.0,2.0,2.0,0.0,2.0,3.0,4.0,6.0,2.0,5.0,1.0,4.0,,,,,,45.0,20.0,7.8,5.0,100.67468432069,7.0,8.7879739490155,1.0,,"{'original': 7.8, 'alternative': 7.5}",2,0.13,0.28,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,66.66666666666666,100.0,,100.0,,,,2.0,5.0,,2.0,1.0,,,1.0,5.1166010236593,6.1748279328253,,1.0,1.0,1.0,1.0,0.44,2.0,2.0,,,,,1.0,,,,
14015628,away,308176,FK IMT Beograd,1897363,Josué Tiendrebeogo,josue-tiendrebeogo,M,18,True,27.0,21.0,5.0,3.0,0.0,13.0,18.0,8.0,9.0,2.0,2.0,1.0,3.0,,,,,,45.0,33.0,6.7,7.0,69.276697105335,12.0,30.35919050264,0.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.35,0.03,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,77.77777777777779,60.0,,,,,,,3.0,2.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,
14015628,away,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,True,2.0,2.0,,,1.0,2.0,2.0,0.0,0.0,,1.0,,,,,,,,17.0,8.0,7.0,4.0,70.014569139394,5.0,34.280051322356,1.0,,"{'original': 7, 'alternative': 6.8}",0,0.4,0.17,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,,33.33333333333333,,,3.0,1.0,,3.0,1.0,1.0,,,1.0,,22.11290032487,23.357088945329,1.0,,,,,,1.0,,1.0,,,,,,,,
14015628,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,4.0,2.0,,,0.0,1.0,1.0,1.0,3.0,,,,1.0,,,,,,11.0,10.0,6.2,4.0,26.253023392346,3.0,3.6702111412144,0.0,,"{'original': 6.2, 'alternative': 6.4}",0,-0.24,-0.33,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015628,away,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,away,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,away,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,F,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
