match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,aerialLost,challengeLost,shotOffTarget,interceptionWon,fouls,shotValueNormalized,outfielderBlock,errorLeadToAShot,dispossessed,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,totalOffside,goals,bigChanceMissed,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper
14015432,away,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,False,25.0,22.0,4.0,3.0,1.0,14.0,15.0,8.0,10.0,,9.0,,7.0,,,,89.0,52.0,7.2,15.0,,"{'original': 7.2, 'alternative': 8}",1,0.3,0.31,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,9,3,88.0,75.0,20.0,100.0,,5.0,1.0,4.0,1.0,1.0,4.0,3.0,7.0,4.0,2.0,1.0,1.0,1.0,,1.0,-0.12,,,1.0,2.0,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,27.0,25.0,2.0,1.0,0.0,9.0,10.0,16.0,17.0,,5.0,,7.0,,,,89.0,50.0,6.7,11.0,,"{'original': 6.7, 'alternative': 6.8}",2,0.22,0.22,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,5,7,92.5925925925926,50.0,,20.0,,1.0,,8.0,5.0,1.0,4.0,3.0,3.0,,1.0,1.0,,,,2.0,-0.51,1.0,,1.0,1.0,,2.0,,,1.0,,,
14015432,away,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,False,15.0,11.0,,,0.0,6.0,6.0,5.0,9.0,1.0,2.0,1.0,1.0,,,,68.0,24.0,7.0,8.0,,"{'original': 7, 'alternative': 7.2}",1,-0.37,-0.41,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,73.33333333333333,,,,,,,3.0,,,,,3.0,1.0,,1.0,,,,1.0,0.51,,,1.0,,,1.0,,1.0,,,,
14015432,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,11.0,9.0,,,0.0,2.0,2.0,7.0,9.0,,2.0,,1.0,,,,22.0,19.0,7.3,5.0,,"{'original': 7.3, 'alternative': 7.4}",2,-0.44,0.17,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,81.81818181818183,,50.0,,,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,0.51,,,,,,2.0,,1.0,1.0,,,
14015432,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,True,7.0,6.0,,,1.0,1.0,2.0,5.0,5.0,,1.0,,1.0,,,,22.0,15.0,6.7,4.0,,"{'original': 6.7, 'alternative': 7.1}",0,0.42,0.07,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,85.71428571428571,,100.0,100.0,,1.0,1.0,4.0,1.0,1.0,,,1.0,,1.0,1.0,,,,3.0,,,,2.0,1.0,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,,,,,0.0,,,,,,,,,,,,1.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,F,18,True,,,,,0.0,,,,,,,,,,,,1.0,1.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015432,away,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,away,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,away,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,away,5151,FK Železničar Pančevo,1912461,Vladimir Karajčić,vladimir-karajcic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
