match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,duelLost,dispossessed,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,shotOffTarget,onTargetScoringAttempt,outfielderBlock,interceptionWon,keyPass,shotValueNormalized,accurateCross,challengeLost,totalContest,wonContest,totalOffside,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,ownGoals,bigChanceCreated,bigChanceMissed
14015402,away,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,32.0,27.0,6.0,5.0,0.0,19.0,20.0,12.0,1.0,7.0,4.0,1.0,,,90.0,44.0,7.0,7.0,,"{'original': 7, 'alternative': 6.9}",1,0.14,0.0,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,6,5,84.375,83.33333333333334,,,,8.0,,6.0,,,5.0,4.0,2.0,3.0,1.0,,,,,,-0.33,,2.0,,,,1.0,,,,,
14015402,away,5144,FK Javor Ivanjica,1398997,Ognjen Krsmanović,ognjen-krsmanovic,F,22,False,8.0,8.0,,,0.0,1.0,1.0,7.0,2.0,3.0,2.0,1.0,,,89.0,24.0,6.5,9.0,,"{'original': 6.5, 'alternative': 7}",3,0.1,0.06,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,100.0,,100.0,,,7.0,1.0,3.0,,1.0,,,8.0,1.0,1.0,1.0,2.0,,,1.0,-0.53,1.0,,1.0,,,,,,,,1.0
14015402,away,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,16.0,10.0,,,0.0,1.0,1.0,15.0,4.0,9.0,2.0,3.0,,,89.0,26.0,7.0,9.0,,"{'original': 7, 'alternative': 6.8}",1,-0.06,0.29,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,8,8,5,3,62.5,,100.0,,,9.0,1.0,7.0,1.0,,2.0,1.0,,,4.0,,,,,1.0,0.02,1.0,,2.0,,,1.0,,,,,
14015402,away,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,True,6.0,5.0,,,0.0,2.0,3.0,3.0,1.0,1.0,,,,,18.0,9.0,6.4,2.0,,"{'original': 6.4, 'alternative': 6.4}",1,0.02,,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,83.33333333333334,,,,,3.0,,2.0,,,,,1.0,1.0,,1.0,,,,,0.01,,1.0,,,,,,,,,
14015402,away,203041,FK Javor Ivanjica,804833,Nemanja Krstić,nemanja-krstic,M,8,True,5.0,3.0,2.0,,0.0,1.0,1.0,4.0,,,1.0,,,,11.0,9.0,6.9,4.0,,"{'original': 6.9, 'alternative': 6.4}",1,-0.13,,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,60.0,,,,,2.0,2.0,2.0,,1.0,,,,2.0,,1.0,,,,,-0.03,,,,,,,,,,,
14015402,away,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,True,,,,,0.0,,,,,,,,,,1.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,,,,,,,,3.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,
14015402,away,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,,1.0,3.0,,2.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
14015402,away,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,F,28,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,away,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,away,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,away,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,away,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,away,203041,FK Javor Ivanjica,76394,Slaviša Stojanović,slavisa-stojanovic,F,7,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,away,5160,FK Javor Ivanjica,145194,Leandro,leandro,D,4,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
