match_id,team_id,team_name,team_side,accurateCross,accurateLongBalls,accuratePasses,accurateThroughBall,aerialDuelsPercentage,ballPossession,blockedScoringAttempt,cornerKicks,dispossessed,dribblesPercentage,duelWonPercent,expectedGoals,fouls,freeKicks,goalKicks,goalkeeperSaves,groundDuelsPercentage,hitWoodwork,interceptionWon,offsides,passes,redCards,shotsOffGoal,shotsOnGoal,throwIns,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,yellowCards
14147343,5143,FK Budućnost Podgorica,home,4,30,463,8,19,60,2,7,10,21,45,0.57,14,2,7,4,67,0,17,1,558,0,3,2,24,25,5,7,2,6,4
14147343,24312,FK Jezero,away,1,28,360,2,16,40,1,4,7,16,28,0.7,15,0,12,1,41,0,33,2,431,0,3,5,26,24,5,9,4,8,2
14147345,6216,OFK Petrovac,home,7,31,350,3,21,60,2,8,2,14,43,1.14,6,2,6,0,51,1,12,3,438,0,8,7,20,9,9,18,9,2,1
14147345,6224,FK Sutjeska Nikšić,away,3,10,208,0,12,40,5,2,6,13,32,0.73,25,1,17,7,35,0,16,4,290,0,5,1,29,18,5,11,6,4,2
14147346,327162,Mladost DG,home,3,29,280,0,21,49,4,6,8,14,39,1.94,20,2,6,2,47,0,18,0,358,0,2,9,31,19,9,15,6,6,1
14147346,7581,FK Bokelj Kotor,away,4,20,274,0,16,51,4,3,5,17,36,0.53,18,6,5,7,49,1,12,3,362,0,2,2,31,21,5,9,4,6,4
14147347,6224,FK Sutjeska Nikšić,home,2,17,223,2,5,43,0,3,6,15,32,0.26,20,2,9,3,44,0,18,0,316,0,5,2,20,14,3,7,4,7,1
14147347,5143,FK Budućnost Podgorica,away,5,33,329,1,12,57,2,1,4,13,41,1.82,11,2,12,2,51,2,25,4,422,0,1,4,26,8,7,9,2,3,4
14147348,24312,FK Jezero,home,1,16,437,1,9,53,1,0,3,12,33,0.65,12,2,7,3,39,0,14,1,536,0,3,2,25,18,1,6,5,4,2
14147348,6216,OFK Petrovac,away,0,33,345,2,7,47,3,3,11,12,37,0.86,16,1,4,1,53,0,16,3,431,0,4,5,24,9,3,12,9,3,2
14147349,7581,FK Bokelj Kotor,home,8,31,227,4,14,40,1,5,10,12,32,3.32,18,2,5,5,33,0,14,1,297,0,7,7,29,18,11,15,4,4,0
