match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,totalCross,bigChanceCreated,penaltyConceded,keyPass,accurateCross,dispossessed,bigChanceMissed,shotOffTarget,totalOffside,goals,errorLeadToAGoal,punches,clearanceOffLine,penaltyWon,lastManTackle
14015584,away,25737,FK Radnički Niš,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,23,True,9.0,7.0,,,0.0,2.0,2.0,5.0,7.0,4.0,,,,,,,30.0,21.0,7.7,9.0,126.70911343657,8.0,92.995825673686,3.0,,"{'original': 7.7, 'alternative': 7.2}",2,0.04,0.31,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,77.77777777777779,,,,,1.0,1.0,4.0,3.0,1.0,1.0,,,2.0,,49.67540316968,91.164241165417,0.31,,2.0,,1.0,,,,1.0,2.0,,,,,1.0,,,,1.0,,,,1.0,
14015584,away,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,True,2.0,2.0,,,0.0,,,2.0,2.0,3.0,,,,,,,13.0,8.0,6.9,2.0,70.917373968082,7.0,41.672040528156,1.0,,"{'original': 6.9, 'alternative': 6.6}",0,0.14,0.22,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,100.0,,,,,,,1.0,3.0,,,1.0,,2.0,,15.324925999196,19.705218826494,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,873419,Issah Abass,abass-issah,F,8,True,2.0,2.0,,,0.0,,,2.0,2.0,1.0,,,,,,,13.0,4.0,6.6,1.0,10.535461921148,2.0,4.653446658531,1.0,,"{'original': 6.6, 'alternative': 6.7}",1,-0.01,0.37,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,1.0,,,,,,5.7805990867312,6.8574619211484,-0.56,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
14015584,away,25737,FK Radnički Niš,1384025,Lamonth Rochester,lamonth-rochester,D,14,True,,,,,0.0,,,,,,,,,,,,3.0,2.0,,1.0,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,True,1.0,,,,0.0,,,,1.0,,,,,,,,3.0,3.0,,2.0,18.527099746048,1.0,-6.8556933051591,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,605446,Bubacar Djaló,bubacar-djalo,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,987906,Oleg Nikiforenko,oleg-nikiforenko,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,2456158,Petar Maslovarić,petar-maslovaric,G,91,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,away,263764,FK Radnički Niš,2237640,Marko Radic,marko-radic,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
