match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,interceptionWon,unsuccessfulTouch,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,challengeLost,totalClearance,totalTackle,wonTackle,dispossessed,outfielderBlock,onTargetScoringAttempt,goals,bigChanceMissed,blockedScoringAttempt,totalOffside,clearanceOffLine
14015562,away,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,False,7.0,6.0,,,0.0,1.0,1.0,5.0,6.0,,,1.0,,,,,,,57.0,14.0,6.0,5.0,36.328161150226,5.0,17.01,18.585,,"{'original': 6, 'alternative': 6.2}",0,-0.08,0.02,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,85.71428571428571,,,,,1.0,,1.0,4.0,1.0,,,,,2.0,2.0,18.600046478437,1.0,,,1.0,1.0,,,,,,,,,1.0,
14015562,away,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,19.0,10.0,3.0,2.0,0.0,2.0,4.0,8.0,15.0,4.0,7.0,3.0,2.0,,,,,,90.0,31.0,6.4,12.0,52.43394607647,9.0,8.61,8.925,,"{'original': 6.4, 'alternative': 6.8}",0,-0.11,0.05,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,13,4,3,1,52.63157894736842,66.66666666666666,,100.0,,,,9.0,10.0,1.0,1.0,,,,2.0,,,,2.0,,,1.0,,,1.0,,,,,,,
14015562,away,5362,FK Novi Pazar,940100,Abdoulaye Cisse,abdoulaye-cisse,D,6,True,9.0,6.0,1.0,,0.0,4.0,5.0,2.0,4.0,,2.0,3.0,1.0,,,,,,45.0,15.0,6.2,3.0,17.405889504453,4.0,0.10499999999999,4.305,,"{'original': 6.2, 'alternative': 6.3}",0,0.02,0.08,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,66.66666666666666,,,,,,,,3.0,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,
14015562,away,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,True,7.0,5.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0,5.0,6.0,1.0,,,,,,,33.0,12.0,6.4,2.0,,,,,,"{'original': 6.4, 'alternative': 6.5}",0,0.0,,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,1,1,71.42857142857143,100.0,,,,,,1.0,2.0,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
14015562,away,3009,FK Novi Pazar,1617764,Ejike Opara,ejike-opara,F,11,True,5.0,4.0,,,0.0,2.0,3.0,2.0,2.0,,4.0,1.0,1.0,,,,,,33.0,13.0,6.9,3.0,16.293285805336,3.0,3.255,8.295,,"{'original': 6.9, 'alternative': 6.8}",0,0.02,0.06,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,80.0,,,,,1.0,,1.0,3.0,,,,,,1.0,1.0,,,,,1.0,,3.0,2.0,,,,,,,,
14015562,away,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,25.0,3.0,6.4,,6.5355955352209,1.0,-0.315,-0.315,,"{'original': 6.4, 'alternative': 6.6}",1,0.01,0.02,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,1.0,,,,,,1.0,-0.11,,,,,,,,,,,,
14015562,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,,,1.0,3.0,,2.0,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,away,5363,FK Novi Pazar,887054,Samson Iyede,samson-iyede,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,away,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,away,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,away,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,away,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
