match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,dispossessed,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,challengeLost,totalContest,wonContest,bigChanceCreated,keyPass,accurateCross,shotOffTarget,totalOffside,shotValueNormalized,onTargetScoringAttempt,goals,hitWoodwork,punches,blockedScoringAttempt,lastManTackle
14015436,away,382024,FK TSC Bačka Topola,851599,Tyrone Conraad,tyrone-conraad,F,77,False,4.0,4.0,,,0.0,4.0,4.0,,,,,,,31.0,5.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.0,0.03,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,True,10.0,7.0,,,0.0,3.0,4.0,4.0,6.0,,,,,59.0,17.0,6.9,6.0,,"{'original': 6.9, 'alternative': 6.7}",0,-0.42,0.37,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,2,0,70.0,,,,,,3.0,1.0,5.0,,,1.0,,,3.0,2.0,,1.0,,,,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,True,33.0,24.0,4.0,,0.0,14.0,17.0,10.0,16.0,3.0,6.0,,,59.0,49.0,6.8,13.0,,"{'original': 6.8, 'alternative': 6.5}",0,-0.04,0.02,0.85,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,72.72727272727273,,,,,1.0,1.0,4.0,4.0,,,,2.0,1.0,,1.0,,2.0,,2.0,,,,,,,,,,,,,1.0
14015436,away,3248,FK TSC Bačka Topola,997191,Miloš Pantović,milos-pantovic,M,27,True,14.0,11.0,1.0,,0.0,2.0,2.0,9.0,12.0,,1.0,,,33.0,22.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.8}",1,-0.21,-0.52,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,78.57142857142857,,,66.66666666666666,,1.0,,5.0,4.0,,,,,,1.0,2.0,1.0,1.0,2.0,3.0,2.0,,1.0,,1.0,,-0.33,,,,,,
14015436,away,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,F,21,True,20.0,15.0,,,0.0,2.0,3.0,13.0,17.0,,,,,33.0,28.0,6.7,10.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.11,0.24,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,75.0,,33.33333333333333,50.0,,3.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,2.0,1.0,,2.0,1.0,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,12.0,10.0,,,0.0,5.0,5.0,5.0,7.0,,2.0,,,16.0,16.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.1,0.13,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,83.33333333333334,,,100.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
