match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,ballRecovery,penaltyConceded,fouls,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelWon,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialWon,totalContest,wonContest,bigChanceMissed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,shotValueNormalized,aerialLost,totalCross,accurateCross,onTargetScoringAttempt,keyPass,goals,dispossessed,clearanceOffLine,totalOffside,penaltyWon,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,blockedScoringAttempt
14015413,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,43.0,33.0,12.0,4.0,0.0,25.0,28.0,8.0,15.0,5.0,2.0,1.0,2.0,,,,90.0,56.0,6.3,13.0,,"{'original': 6.3, 'alternative': 6.2}",0,0.2,0.06,-0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,2,4,76.74418604651163,33.33333333333333,,,,7.0,2.0,2.0,1.0,2.0,,5.0,,,,,7.0,,,,1.0,,,,,,,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,False,20.0,17.0,3.0,1.0,0.0,15.0,16.0,2.0,4.0,2.0,,,,,,,40.0,25.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.07,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,1,0,85.0,33.33333333333333,,,,3.0,,1.0,1.0,1.0,,2.0,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,38.0,36.0,6.0,5.0,0.0,26.0,26.0,10.0,12.0,2.0,6.0,,1.0,,,,82.0,66.0,7.7,7.0,,"{'original': 7.7, 'alternative': 7.6}",0,0.07,0.04,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,94.73684210526315,83.33333333333334,,,,2.0,,,,1.0,2.0,,,,,,3.0,1.0,3.0,,1.0,,,,,,,1.0,,,,,,,
14015413,away,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,False,31.0,28.0,3.0,1.0,0.0,18.0,18.0,10.0,13.0,3.0,5.0,,,,,,90.0,43.0,7.2,5.0,,"{'original': 7.2, 'alternative': 6.9}",0,0.25,0.13,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,90.32258064516128,33.33333333333333,,100.0,,6.0,,1.0,,,3.0,,2.0,2.0,,,,,,,1.0,,,,,,2.0,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,11.0,8.0,,,0.0,3.0,3.0,5.0,8.0,13.0,3.0,,1.0,,,,59.0,41.0,6.6,17.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.31,0.06,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,0,20,7,13,72.72727272727273,,,33.33333333333333,,7.0,3.0,6.0,4.0,5.0,,,3.0,1.0,,,,,1.0,,,,,,1.0,,7.0,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,31.0,27.0,,,0.0,17.0,18.0,10.0,13.0,5.0,2.0,,,,,,90.0,41.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.03,0.14,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,1,5,87.09677419354838,,,,,2.0,2.0,1.0,,,,1.0,,,,,2.0,,,,,,,,1.0,,3.0,,,,,,,,
14015413,away,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,False,26.0,19.0,1.0,,0.0,9.0,10.0,10.0,16.0,7.0,7.0,,1.0,,,,82.0,45.0,7.6,15.0,,"{'original': 7.6, 'alternative': 7.5}",3,-0.47,0.39,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,2,6,73.07692307692307,,,,,4.0,1.0,,,4.0,2.0,2.0,2.0,,,1.0,1.0,,2.0,0.49,1.0,,,2.0,,1.0,2.0,,1.0,1.0,,,,,
14015413,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,15.0,14.0,,,0.0,8.0,9.0,6.0,6.0,6.0,6.0,,,,,,83.0,42.0,8.5,7.0,,"{'original': 8.5, 'alternative': 8.3}",3,0.0,0.51,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,10,5,93.33333333333333,,25.0,75.0,,10.0,2.0,2.0,2.0,,5.0,,4.0,3.0,1.0,1.0,2.0,,3.0,0.4,1.0,4.0,1.0,1.0,,1.0,2.0,,,1.0,,,,,1.0
14015413,away,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,False,13.0,10.0,1.0,,0.0,5.0,5.0,5.0,8.0,5.0,1.0,,2.0,,,,90.0,26.0,7.5,9.0,,"{'original': 7.5, 'alternative': 7.9}",5,-0.2,0.2,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,76.92307692307693,,,,,2.0,1.0,,,5.0,1.0,1.0,1.0,,,,,,,0.47,2.0,,,3.0,,2.0,,,2.0,,,,,,2.0
14015413,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,24.0,21.0,4.0,2.0,0.0,17.0,18.0,4.0,6.0,,3.0,,,,,,50.0,29.0,6.3,3.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.12,0.02,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,87.5,50.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,True,7.0,6.0,1.0,1.0,0.0,1.0,1.0,5.0,6.0,4.0,1.0,,2.0,,,,31.0,17.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.7}",3,0.03,0.09,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,85.71428571428571,100.0,,100.0,,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,,,-0.44,,,,,1.0,,2.0,,,,,,,,1.0
14015413,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,True,5.0,4.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,,,1.0,,,,8.0,7.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.06,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,80.0,50.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,5.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,,1.0,,,,,,8.0,7.0,6.9,,,"{'original': 6.9, 'alternative': 6.8}",0,0.25,0.05,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,100.0,,100.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14015413,away,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,True,4.0,3.0,1.0,1.0,0.0,,1.0,3.0,3.0,1.0,1.0,,,,,,8.0,8.0,6.5,2.0,,"{'original': 6.5, 'alternative': 7}",1,0.0,-0.3,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,75.0,100.0,50.0,,,1.0,,,,,1.0,,,,,1.0,,,,0.0,1.0,2.0,1.0,,2.0,,,,,,,,,,
14015413,away,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,away,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,F,18,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
