match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,onTargetScoringAttempt,totalTackle,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,totalContest,wonContest,outfielderBlock,wonTackle,fouls,interceptionWon,totalCross,accurateCross,dispossessed,blockedScoringAttempt,unsuccessfulTouch,shotOffTarget,bigChanceCreated,challengeLost,goals,errorLeadToAShot,punches,totalOffside
14015622,home,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015622,away,5148,FK Čukarički,797144,Đorđe Nikolić,dorde-nikolic,G,1,False,23.0,11.0,17.0,5.0,0.0,7.0,9.0,4.0,14.0,,,1.0,8.0,,2.0,1.0,3.0,,,90.0,33.0,7.1,12.0,20.342718701936,4.0,13.698814202029,0.0,0.1539,"{'original': 7.1, 'alternative': 6.8}",0,0.1,0.0,-0.04,0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,47.82608695652174,29.411764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
14015622,away,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,20.0,15.0,3.0,2.0,0.0,4.0,5.0,11.0,15.0,1.0,1.0,2.0,3.0,,,,,,,90.0,37.0,6.2,12.0,120.49000921297,11.0,35.21940863427,1.0,,"{'original': 6.2, 'alternative': 6.6}",0,0.04,0.1,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,75.0,66.66666666666666,,,,,4.0,,,9.8410200261164,14.062858884309,1.0,,,,,,4.0,1.0,1.0,,,,1.0,,,,,,,
14015622,away,5148,FK Čukarički,1595759,Ismael Maiga,ismael-maiga,D,13,False,48.0,35.0,12.0,1.0,0.0,26.0,27.0,9.0,21.0,2.0,3.0,5.0,3.0,1.0,,,,,,90.0,57.0,6.5,14.0,160.31214826289,20.0,91.286583517439,1.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.08,0.16,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,72.91666666666666,8.333333333333332,,,,1.0,2.0,,,18.097928901293,27.078408391189,1.0,,,,,,1.0,,,,,,1.0,,,,,,,
14015622,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,52.0,45.0,6.0,4.0,0.0,31.0,35.0,14.0,17.0,4.0,6.0,4.0,5.0,,,,,,,77.0,66.0,6.3,9.0,223.23451031223,26.0,191.35058050388,2.0,,"{'original': 6.3, 'alternative': 6.5}",2,0.25,0.19,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,10,3,2,1,86.53846153846155,66.66666666666666,,100.0,,6.0,7.0,,1.0,19.935517427915,37.740652873793,,-0.03,1.0,1.0,,1.0,1.0,1.0,,,,1.0,2.0,1.0,,,,,,
14015622,away,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,False,21.0,14.0,4.0,,0.0,8.0,11.0,6.0,10.0,1.0,2.0,2.0,1.0,,,,,,,90.0,41.0,6.3,12.0,56.137638439027,9.0,4.0278442646076,0.0,,"{'original': 6.3, 'alternative': 6.5}",0,0.12,-0.02,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,66.66666666666666,,50.0,,,1.0,3.0,,1.0,,,2.0,,,,,1.0,1.0,,2.0,1.0,,,4.0,,,1.0,,,,
14015622,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,39.0,29.0,7.0,3.0,0.0,15.0,18.0,14.0,21.0,4.0,8.0,,5.0,,,,,,,90.0,49.0,7.2,12.0,46.082394023387,7.0,-0.33274107635826,0.0,,"{'original': 7.2, 'alternative': 7.3}",0,0.25,0.01,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,7,6,4,2,74.35897435897436,42.857142857142854,,,,3.0,5.0,,4.0,,,2.0,,,,,3.0,1.0,2.0,,,1.0,,1.0,,,,,,,
14015622,away,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,47.0,40.0,5.0,1.0,0.0,17.0,17.0,23.0,30.0,1.0,3.0,1.0,4.0,1.0,,,,,,89.0,69.0,7.5,18.0,176.34567702064,20.0,94.01722477617,2.0,,"{'original': 7.5, 'alternative': 7.3}",2,0.39,0.22,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,85.1063829787234,20.0,16.666666666666664,100.0,,1.0,1.0,1.0,,24.681205373825,38.905079274156,1.0,0.51,1.0,1.0,1.0,,,1.0,12.0,2.0,,1.0,1.0,,,,1.0,,,
14015622,away,5148,FK Čukarički,1005616,Lazar Mijović,lazar-mijovic,M,18,False,17.0,13.0,1.0,1.0,0.0,5.0,5.0,8.0,12.0,1.0,2.0,1.0,,,,,,,,66.0,24.0,6.2,7.0,131.53213782382,14.0,19.543476514216,2.0,,"{'original': 6.2, 'alternative': 6.3}",1,-0.1,0.05,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,76.47058823529412,100.0,,50.0,,1.0,6.0,,,16.518614883615,51.51015387537,1.0,0.01,2.0,1.0,,,1.0,,,,2.0,1.0,,,,1.0,,,,1.0
14015622,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,23.0,20.0,2.0,1.0,0.0,9.0,9.0,11.0,14.0,,3.0,,2.0,3.0,,,,,,82.0,30.0,6.3,5.0,68.854954325472,9.0,9.717013494041,0.0,,"{'original': 6.3, 'alternative': 6.5}",1,0.0,-0.05,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,86.95652173913044,50.0,,,,4.0,7.0,,,,,,-0.14,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,
14015622,away,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,M,20,False,18.0,7.0,1.0,,0.0,1.0,3.0,6.0,15.0,3.0,4.0,1.0,2.0,1.0,,,,,,83.0,32.0,6.9,22.0,73.174429473541,8.0,21.301935709093,1.0,,"{'original': 6.9, 'alternative': 6.6}",1,-0.08,0.04,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,1,7,38.88888888888889,,,,,3.0,10.0,,,11.908965777403,15.276872225688,,0.0,2.0,,,,2.0,,1.0,,2.0,1.0,5.0,,,1.0,,1.0,,
