match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelWon,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialLost,duelLost,outfielderBlock,fouls,totalContest,wonContest,ownGoals,challengeLost,shotOffTarget,onTargetScoringAttempt,goals,keyPass,shotValueNormalized,hitWoodwork,dispossessed,blockedScoringAttempt,totalOffside,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed
14015526,away,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,False,8.0,6.0,,,0.0,3.0,4.0,3.0,4.0,,,,,45.0,14.0,6.3,8.0,41.850318096385,5.0,-8.925,3.465,,"{'original': 6.3, 'alternative': 6.4}",0,-0.11,0.01,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,75.0,,,,,,,1.0,1.0,,,,5.0,,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,
14015526,away,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,True,33.0,23.0,2.0,1.0,0.0,7.0,9.0,16.0,24.0,,3.0,,,45.0,44.0,6.7,13.0,160.37348475066,17.0,-13.44,10.395,,"{'original': 6.7, 'alternative': 6.8}",0,0.09,0.18,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,69.6969696969697,50.0,,,,2.0,,1.0,3.0,,,,,2.0,,4.0,,3.0,,,,,,,,2.0,,,1.0,,,,,,
14015526,away,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,True,16.0,10.0,,,0.0,4.0,7.0,6.0,9.0,,3.0,,,45.0,30.0,6.5,10.0,51.600571189287,7.0,-11.76,5.355,,"{'original': 6.5, 'alternative': 6.7}",1,-0.17,-0.06,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,62.5,,,100.0,,2.0,,1.0,3.0,3.0,1.0,1.0,1.0,,,3.0,,,1.0,1.0,,2.0,,,,,0.04,,1.0,1.0,,,,,1.0
14015526,away,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,8.0,5.0,,,0.0,1.0,1.0,4.0,7.0,,,,,45.0,12.0,6.6,5.0,26.182457706966,3.0,-12.6,2.625,,"{'original': 6.6, 'alternative': 6.7}",0,-0.05,-0.26,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,8,3,1,2,62.5,,,,,,,4.0,5.0,,,,1.0,1.0,4.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,
14015526,away,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,True,13.0,11.0,1.0,1.0,0.0,6.0,7.0,5.0,6.0,,3.0,,,21.0,18.0,6.9,3.0,59.052497593595,8.0,-38.535,5.25,,"{'original': 6.9, 'alternative': 7}",0,-0.12,0.18,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,84.61538461538461,100.0,,50.0,,,,1.0,4.0,,2.0,2.0,,,,1.0,,,2.0,1.0,,,,,,1.0,,,,,,,,,
14015526,away,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,9.0,5.0,,,0.0,1.0,3.0,4.0,6.0,,,,,15.0,13.0,6.3,6.0,57.280063864672,7.0,-36.54,2.52,,"{'original': 6.3, 'alternative': 6.7}",2,-0.28,0.28,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,55.55555555555556,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,-0.51,,,1.0,,,,,
14015526,away,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,away,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,away,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,away,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015526,away,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
