match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,totalContest,wonContest,totalOffside,blockedScoringAttempt,outfielderBlock,dispossessed,errorLeadToAGoal,challengeLost,fouls,shotOffTarget,totalKeeperSweeper,accurateKeeperSweeper,goals,bigChanceCreated
14015608,away,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,False,25.0,20.0,2.0,,0.0,3.0,3.0,17.0,22.0,2.0,,,,73.0,36.0,6.6,10.0,77.960993311066,12.0,18.311617136696,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.2,0.3,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,80.0,,,,,1.0,,1.0,2.0,5.0,4.0,,1.0,,2.0,,2.0,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,
14015608,away,25736,FK Novi Pazar,798091,Driton Camaj,driton-camaj,M,10,False,28.0,19.0,6.0,3.0,1.0,5.0,6.0,14.0,22.0,3.0,,,,89.0,36.0,7.2,16.0,168.15898771727,14.0,56.627150123381,4.0,,"{'original': 7.2, 'alternative': 6.8}",0,0.6,0.32,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,0,6,67.85714285714286,50.0,,,,1.0,,,2.0,6.0,2.0,,1.0,,,,3.0,,18.355331235249,76.233233138376,1.0,,3.0,,,,,,,1.0,2.0,,,,,1.0
14015608,away,25736,FK Novi Pazar,1133676,Vieiri Kotzebue,vieri-kotzebue,F,9,False,11.0,7.0,1.0,,0.0,2.0,3.0,5.0,8.0,1.0,,,,57.0,23.0,6.3,9.0,39.470309005663,7.0,3.3723069305304,0.0,,"{'original': 6.3, 'alternative': 6.5}",0,-0.17,0.02,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,11,5,2,3,63.63636363636363,,,,,,,7.0,4.0,10.0,6.0,,1.0,,1.0,1.0,3.0,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,
14015608,away,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,True,9.0,7.0,,,0.0,2.0,2.0,5.0,7.0,,,,,33.0,15.0,6.8,5.0,51.258629870942,5.0,21.401231521979,2.0,,"{'original': 6.8, 'alternative': 7.4}",2,-0.46,0.35,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,77.77777777777779,,,,,,,3.0,,3.0,,1.0,,,,,2.0,,14.035735424595,34.709495466604,1.0,0.29,,,,,,,,,,1.0,,,1.0,
14015608,away,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,17.0,5.0,6.7,1.0,11.803613048554,1.0,8.8169425567871,1.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.25,0.16,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,66.66666666666666,,,,,,,2.0,,3.0,1.0,,,1.0,1.0,1.0,,,8.8169425567871,11.803613048554,,,,,,,,,,,1.0,,,,,
14015608,away,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,7.0,6.0,2.0,1.0,0.0,3.0,3.0,3.0,4.0,,,,,17.0,10.0,6.6,1.0,60.938265681697,5.0,43.011388824612,3.0,,"{'original': 6.6, 'alternative': 6.8}",0,-0.08,0.2,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,50.0,100.0,,,1.0,1.0,,,,,,,1.0,,,,,19.067396110537,47.15770440281,1.0,,,,,,,,,,,,,,,
14015608,away,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,1.0,5.0,,1.0,11.100885579034,2.0,8.9260508541272,0.0,,,1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,
14015608,away,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,7.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,6.0,,,,,1.0,8.0,,2.0,33.570979126077,4.0,25.863723813285,1.0,,,1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,71.42857142857143,50.0,,,,,,,,,,,,,,,,,17.85168161086,19.005,1.0,,,,,1.0,,,,,,,,,,
14015608,away,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,away,25736,FK Novi Pazar,796184,Anes Rušević,anes-rusevic,F,11,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,away,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,away,39404,FK Novi Pazar,2468591,Haris Alic,haris-alic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,away,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,away,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
