match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelWon,interceptionWon,unsuccessfulTouch,wasFouled,aerialLost,aerialWon,duelLost,challengeLost,totalContest,wonContest,totalTackle,fouls,outfielderBlock,accurateCross,wonTackle,keyPass,shotOffTarget,shotValueNormalized,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,dispossessed,bigChanceCreated,goals,errorLeadToAShot,penaltyFaced,clearanceOffLine,totalOffside,penaltyConceded
14015443,away,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,True,13.0,11.0,1.0,1.0,0.0,8.0,9.0,3.0,4.0,1.0,1.0,,,,,33.0,14.0,6.0,2.0,,"{'original': 6, 'alternative': 5.9}",0,0.08,0.01,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,84.61538461538461,100.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0
14015443,away,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,7.0,6.0,,,0.0,1.0,2.0,5.0,5.0,,1.0,,,,,32.0,12.0,6.3,3.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.01,0.0,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,85.71428571428571,,,50.0,,1.0,1.0,,,,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,
14015443,away,301263,FK Radnik Surdulica,72116,Evgen Pavlov,evgen-pavlov,F,17,True,3.0,3.0,,,0.0,3.0,3.0,,,,,,,,,20.0,7.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.02,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,100.0,,,,,,2.0,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015443,away,35326,FK Radnik Surdulica,1166049,Andrija Lazarević,andrija-lazarevic,F,19,True,5.0,4.0,,,0.0,,,4.0,5.0,,,,,,,14.0,5.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.05,-0.11,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,True,19.0,18.0,1.0,1.0,0.0,10.0,10.0,8.0,9.0,,3.0,,,,,14.0,25.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.3}",0,0.14,0.01,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,94.73684210526315,100.0,33.33333333333333,,,3.0,1.0,,,1.0,1.0,,3.0,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,
14015443,away,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,954756,Stefan Ilić,stefan-ilic,G,26,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,away,229348,FK Radnik Surdulica,1982078,Uroš Filimonović,uros-filimonovic,M,22,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
