match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,shotOffTarget,interceptionWon,totalTackle,wonTackle,fouls,shotValueNormalized,challengeLost,outfielderBlock,unsuccessfulTouch,wasFouled,aerialLost,dispossessed,bigChanceCreated,onTargetScoringAttempt,keyPass,totalContest,wonContest,totalOffside,totalCross,blockedScoringAttempt,hitWoodwork,goals,accurateCross,penaltyConceded,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,penaltyWon,penaltyMiss
14015487,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,True,36.0,28.0,2.0,1.0,0.0,14.0,17.0,14.0,19.0,,4.0,,,,,45.0,46.0,7.3,10.0,,"{'original': 7.3, 'alternative': 6.9}",1,0.5,0.15,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,77.77777777777779,50.0,50.0,,,1.0,3.0,4.0,1.0,,3.0,1.0,3.0,0.0,,,,,,,,,3.0,,,,2.0,,,,1.0,,,,,,
14015487,away,295152,FK Radnički Niš,1099198,Mbouri Yamkam,mbouri-yamkam,D,3,True,43.0,42.0,3.0,3.0,0.0,31.0,32.0,11.0,11.0,3.0,4.0,,,,,45.0,49.0,7.2,1.0,,"{'original': 7.2, 'alternative': 7.1}",0,0.12,0.04,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,97.67441860465115,100.0,,,,2.0,,4.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015487,away,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,True,29.0,19.0,1.0,,0.0,4.0,4.0,15.0,25.0,,3.0,,,,,45.0,38.0,6.9,16.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.4,0.07,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,65.51724137931035,,50.0,50.0,,,2.0,2.0,,,,,,,1.0,,3.0,1.0,,,,,,2.0,1.0,,2.0,,,,1.0,,,,,,
14015487,away,6216,FK Radnički Niš,979046,Nemanja Belaković,nemanja-belakovic,F,8,True,7.0,3.0,,,0.0,,,3.0,7.0,,1.0,,,,,25.0,18.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.24,0.22,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,42.857142857142854,,,,,1.0,3.0,3.0,,,,,,,,,1.0,2.0,,3.0,,,,,,,3.0,,,,,,,,,,
14015487,away,37053,FK Radnički Niš,1429076,Lacine Kone,lacine-kone,F,9,True,4.0,4.0,,,0.0,,,4.0,4.0,,,,,,,13.0,9.0,6.3,4.0,,"{'original': 6.3, 'alternative': 6.5}",0,-0.14,-0.23,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,100.0,,,,,,3.0,,,,,,2.0,,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,
14015487,away,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015487,away,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015487,away,25737,FK Radnički Niš,1429523,Nikola Ćuruvija,curuvija-nikola,G,44,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015487,away,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015487,away,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015487,away,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
