match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,duelLost,totalContest,interceptionWon,totalTackle,wonTackle,keyPass,aerialLost,challengeLost,blockedScoringAttempt,outfielderBlock,shotValueNormalized,aerialWon,wonContest,unsuccessfulTouch,fouls,dispossessed,onTargetScoringAttempt,goals,bigChanceCreated,penaltyWon,totalOffside,bigChanceMissed,shotOffTarget,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,penaltyConceded,errorLeadToAGoal,clearanceOffLine
14015452,away,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,False,24.0,19.0,3.0,2.0,1.0,7.0,8.0,7.0,2.0,5.0,3.0,,,,90.0,42.0,6.2,9.0,,"{'original': 6.2, 'alternative': 6.2}",0,0.22,0.36,-0.65,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,7,6,79.16666666666666,66.66666666666666,,66.66666666666666,,12.0,16.0,1.0,,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,
14015452,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,16.0,13.0,,,0.0,6.0,8.0,1.0,1.0,1.0,1.0,,,,90.0,27.0,6.4,9.0,,"{'original': 6.4, 'alternative': 5.8}",2,-0.21,0.32,-0.77,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,1,6,81.25,,,,,7.0,8.0,1.0,,6.0,3.0,,,,,,1.0,,,0.53,,,2.0,2.0,,2.0,1.0,,,,,,,,,,1.0,
14015452,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,22.0,20.0,,,0.0,14.0,15.0,1.0,,5.0,,,,,90.0,29.0,6.8,6.0,,"{'original': 6.8, 'alternative': 6.5}",1,0.45,0.11,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,0,3,90.9090909090909,,,,,6.0,7.0,,,6.0,2.0,,,,2.0,3.0,,1.0,,0.01,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,
14015452,away,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,True,13.0,13.0,,,0.0,13.0,13.0,,1.0,,,,,,30.0,17.0,6.4,,,"{'original': 6.4, 'alternative': 6.7}",0,0.0,-0.06,-0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0
14015452,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,True,11.0,11.0,,,0.0,9.0,9.0,,3.0,,,,,,29.0,21.0,5.9,2.0,,"{'original': 5.9, 'alternative': 6.1}",0,0.04,0.2,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,2.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
14015452,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,F,18,True,13.0,10.0,,,0.0,8.0,10.0,2.0,1.0,1.0,1.0,,,,29.0,16.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.6}",0,-0.08,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,76.92307692307693,,,,,2.0,3.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
14015452,away,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,True,3.0,3.0,1.0,1.0,0.0,3.0,3.0,,,,,,,,18.0,3.0,6.5,,,"{'original': 6.5, 'alternative': 6.3}",0,0.06,0.13,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015452,away,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,True,2.0,,,,0.0,,1.0,,,,,,,,18.0,4.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.5}",0,-0.01,0.03,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
14015452,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015452,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015452,away,282203,FK Železničar Pančevo,2063215,Leon Borković,leon-borkovic,G,53,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015452,away,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015452,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015452,away,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
