match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,dispossessed,shotOffTarget,bigChanceCreated,bigChanceMissed,blockedScoringAttempt
15565490,home,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,25.0,18.0,2.0,1.0,0.0,5.0,6.0,13.0,19.0,0.0,0.0,2.0,1.0,8.0,6.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,42.0,7.8,10.0,0.65,0.0,"{'original': 7.8, 'alternative': None}",5.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,5,6,72.0,50.0,,100.0,,,,1.0,,,,1.0
15565490,home,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,True,12.0,10.0,1.0,0.0,0.0,2.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,22.0,17.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,83.33333333333334,0.0,,100.0,,,,,,,,
15565490,home,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,M,19,True,13.0,12.0,2.0,1.0,0.0,4.0,5.0,8.0,8.0,0.0,0.0,0.0,1.0,8.0,6.0,1.0,5.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,22.0,29.0,6.7,5.0,0.17,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,5,8,92.3076923076923,50.0,,60.0,,,,1.0,,,,
15565490,home,36019,FK Mornar Bar,1214474,Nikola Vuković,nikola-vukovic,D,14,True,11.0,7.0,1.0,0.0,0.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.0,12.0,6.4,4.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,63.63636363636363,0.0,,,,,,,,,,
15565490,home,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,M,11,True,5.0,3.0,1.0,0.0,0.0,,,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,11.0,11.0,6.7,3.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,60.0,0.0,,100.0,,,,,,,,
15565490,home,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,D,21,True,2.0,1.0,0.0,0.0,0.0,,,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,6.0,,1.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,50.0,,,50.0,,1.0,,,,,,
15565490,home,241802,FK Mornar Bar,839271,Nemanja Vlahović,nemanja-vlahovic,M,94,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
15565490,home,36019,FK Mornar Bar,357708,Nikola Vujnović,nikola-vujnovic,F,97,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
15565490,home,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
15565490,home,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
