match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,bigChanceMissed,shotOffTarget,blockedScoringAttempt,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,wonTackle,hitWoodwork,interceptionWon,unsuccessfulTouch,goals,accurateCross,dispossessed,savedShotsFromInsideTheBox,saves,punches,keeperSaveValue,goalkeeperValueNormalized,totalOffside
14015398,away,7771,FK Mladost Lučani,1835422,Ognjen Bondžulić,ognjen-bondzulic,M,11,False,7.0,3.0,,,0.0,,,3.0,7.0,,5.0,,,89.0,24.0,6.1,13.0,"{'original': 6.1, 'alternative': 6.3}",1,-0.33,0.48,-0.22,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,5,6,42.857142857142854,,,40.0,,,1.0,,7.0,5.0,1.0,5.0,2.0,,,,1.0,,,3.0,1.0,,-0.51,,,,,4.0,,,1.0,,,,,,
14015398,away,241802,FK Mladost Lučani,280827,Danilo Pantić,danilo-pantic,F,5,False,28.0,24.0,5.0,4.0,0.0,10.0,10.0,14.0,18.0,,5.0,,,76.0,37.0,7.0,8.0,"{'original': 7, 'alternative': 6.6}",0,0.34,0.05,0.17,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,85.71428571428571,80.0,33.33333333333333,,,3.0,,1.0,2.0,4.0,,1.0,,,,,,,,3.0,,1.0,,,,,,,,1.0,1.0,,,,,,
14015398,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,10.0,6.0,,,0.0,5.0,5.0,1.0,5.0,1.0,1.0,,,45.0,21.0,7.6,7.0,"{'original': 7.6, 'alternative': 7.4}",3,-0.11,0.03,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,2,2,60.0,,,,,,4.0,3.0,6.0,5.0,,,,,,1.0,1.0,,,2.0,2.0,,0.52,1.0,,,1.0,3.0,1.0,,,,,,,,
14015398,away,7771,FK Mladost Lučani,1595643,Jovan Ćirić,jovan-ciric,M,25,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,,23.0,6.0,6.5,2.0,"{'original': 6.5, 'alternative': 6.6}",0,-0.11,0.04,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,66.66666666666666,,,100.0,,,,,,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0
14015398,away,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,M,10,True,12.0,7.0,,,0.0,2.0,3.0,5.0,9.0,,,,,22.0,14.0,6.3,6.0,"{'original': 6.3, 'alternative': 6.5}",0,-0.23,0.09,-0.07,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,58.333333333333336,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,
14015398,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,M,37,True,13.0,10.0,1.0,1.0,0.0,8.0,9.0,2.0,4.0,1.0,1.0,,,14.0,19.0,7.0,4.0,"{'original': 7, 'alternative': 7}",0,-0.03,0.03,0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,4,0,76.92307692307693,100.0,,100.0,,,,,,4.0,,1.0,1.0,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,
14015398,away,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,0.0,,,,,1.0,,,,1.0,2.0,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015398,away,5160,FK Mladost Lučani,177037,Miloš Mijić,milos-mijic,M,14,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015398,away,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015398,away,378020,FK Mladost Lučani,1166091,Sava Pribaković,sava-pribakovic,D,32,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
