match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,bigChanceMissed,blockedScoringAttempt
15280992,home,5143,FK Budućnost Podgorica,1086387,Nemanja Nikolić,nemanja-nikolic,F,9,False,28.0,20.0,7.0,4.0,0.0,9.0,10.0,11.0,18.0,1.0,0.0,6.0,1.0,21.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,,,,,,,90.0,49.0,7.0,18.0,0.11,0.02,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,7,18,3,15,71.42857142857143,57.14285714285714,0.0,100.0,,,1.0,5.0,,
15280992,home,5143,FK Budućnost Podgorica,1939640,Stefan Đukanović,stefan-dukanovic,M,34,True,74.0,61.0,11.0,8.0,0.0,29.0,38.0,32.0,36.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,80.0,92.0,6.8,18.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,6,6,82.43243243243244,72.72727272727273,,,,,,1.0,,
15280992,home,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,M,10,True,14.0,12.0,3.0,2.0,0.0,4.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,30.0,18.0,6.6,6.0,0.0,0.11,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,85.71428571428571,66.66666666666666,,,,,1.0,,,
15280992,home,5143,FK Budućnost Podgorica,1000577,Andrej Pupović,andrej-pupovic,D,32,True,5.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,20.0,9.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,80.0,0.0,,,,,,,,
15280992,home,5143,FK Budućnost Podgorica,858877,Mihajlo Nešković,mihajlo-neskovic,M,92,True,6.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,20.0,11.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,66.66666666666666,,,100.0,,,,,,
15280992,home,5143,FK Budućnost Podgorica,1513752,Nikola Medojevic,nikola-medojevic,M,8,True,12.0,11.0,2.0,1.0,0.0,6.0,6.0,3.0,4.0,1.0,1.0,0.0,3.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,20.0,20.0,7.0,5.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,91.66666666666666,50.0,100.0,100.0,,,,,,
15280992,home,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280992,home,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280992,home,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,D,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280992,home,5143,FK Budućnost Podgorica,1423503,Andrej Camaj,camaj-andrej,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
