match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,wonTackle,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialWon,outfielderBlock,fouls,totalContest,blockedScoringAttempt,shotValueNormalized,unsuccessfulTouch,wonContest,dispossessed,shotOffTarget,bigChanceCreated,onTargetScoringAttempt,goals,totalOffside,bigChanceMissed,penaltyMiss,penaltyWon,goodHighClaim,penaltySave,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
14015617,away,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,69.0,66.0,3.0,2.0,0.0,36.0,36.0,30.0,33.0,1.0,7.0,,,,90.0,91.0,7.2,7.0,196.46944273495,27.0,-9.6404769909747,0.0,,"{'original': 7.2, 'alternative': 7.1}",0,0.27,0.07,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,95.65217391304348,66.66666666666666,,,,1.0,,1.0,3.0,6.0,,1.0,2.0,1.0,3.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,False,69.0,64.0,7.0,5.0,0.0,43.0,43.0,21.0,26.0,6.0,4.0,,,,90.0,82.0,6.7,6.0,287.12691715721,33.0,184.12016832132,0.0,,"{'original': 6.7, 'alternative': 6.8}",1,0.3,0.2,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,92.7536231884058,71.42857142857143,,,,,,2.0,4.0,4.0,,,,,2.0,,,,2.0,,1.0,,,0.01,,,1.0,,,1.0,,,,,,,,,,,1.0
14015617,away,2321,FK Crvena zvezda,940827,Strahinja Eraković,strahinja-erakovic,D,25,False,71.0,67.0,2.0,2.0,0.0,38.0,42.0,29.0,29.0,5.0,2.0,,,,90.0,94.0,7.4,12.0,320.93329272613,37.0,111.70494147921,1.0,,"{'original': 7.4, 'alternative': 7.3}",0,0.3,0.13,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,8,4,3,1,94.36619718309859,100.0,,,,1.0,,3.0,4.0,8.0,,2.0,2.0,1.0,1.0,28.477936003619,29.425468152605,,5.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,1029788,Vladimir Lučić,vladimir-lucic,M,37,False,24.0,22.0,3.0,2.0,0.0,6.0,6.0,16.0,18.0,2.0,2.0,,,,68.0,33.0,6.4,6.0,105.77202226211,14.0,31.664525327098,1.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.1,0.11,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,91.66666666666666,66.66666666666666,100.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,14.133337129182,18.349387155979,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,76.0,67.0,3.0,1.0,0.0,22.0,28.0,45.0,48.0,4.0,2.0,,,,90.0,92.0,7.2,9.0,244.52709142936,30.0,89.920441182049,2.0,,"{'original': 7.2, 'alternative': 7.4}",1,0.07,-0.3,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,5,2,88.1578947368421,33.33333333333333,,100.0,,,,2.0,4.0,9.0,2.0,1.0,2.0,,2.0,22.216632336879,38.16612760032,,4.0,1.0,,1.0,,-0.28,,1.0,,1.0,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,62.0,53.0,5.0,1.0,0.0,17.0,18.0,36.0,44.0,,6.0,,,,90.0,80.0,7.4,16.0,222.88401655807,28.0,61.355995335648,1.0,,"{'original': 7.4, 'alternative': 7.2}",1,0.6,0.23,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,85.48387096774194,20.0,50.0,,,6.0,3.0,1.0,5.0,4.0,,,,,2.0,18.003181427152,18.253676451608,3.0,2.0,,1.0,1.0,,0.02,1.0,,2.0,,,1.0,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,M,71,False,28.0,21.0,2.0,2.0,0.0,8.0,10.0,13.0,18.0,3.0,,,,,68.0,58.0,6.8,17.0,89.890684384132,15.0,35.105981580439,1.0,,"{'original': 6.8, 'alternative': 6.9}",1,0.1,-0.06,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,3,9,75.0,100.0,50.0,50.0,,4.0,2.0,1.0,10.0,6.0,3.0,1.0,,,1.0,13.311202823993,17.024254726713,,3.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,F,22,False,39.0,34.0,2.0,2.0,0.0,17.0,18.0,17.0,21.0,,5.0,,,,87.0,56.0,7.4,10.0,67.167707938876,13.0,19.230974002046,0.0,,"{'original': 7.4, 'alternative': 7.7}",3,0.1,0.05,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,87.17948717948718,100.0,75.0,,,4.0,3.0,,3.0,4.0,,,2.0,1.0,2.0,,,1.0,,,,1.0,,0.42,1.0,,2.0,2.0,,1.0,1.0,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,21927,Marko Arnautović,marko-arnautovic,F,89,False,15.0,12.0,1.0,,1.0,4.0,7.0,8.0,8.0,,1.0,,,,78.0,20.0,6.4,6.0,37.464408318889,6.0,5.2516828770295,0.0,,"{'original': 6.4, 'alternative': 7.4}",1,0.13,0.01,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,80.0,,,,,,,2.0,3.0,2.0,,,,,1.0,,,3.0,1.0,,,,,-0.51,2.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,F,10,False,35.0,23.0,3.0,1.0,0.0,4.0,7.0,19.0,28.0,,3.0,,,,78.0,47.0,6.9,17.0,192.01803388546,22.0,52.53608151318,2.0,,"{'original': 6.9, 'alternative': 7.7}",3,-0.91,0.63,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,65.71428571428571,33.33333333333333,,100.0,,1.0,,1.0,2.0,4.0,,1.0,,,,18.986917103408,35.729503303267,,3.0,,,1.0,,0.44,3.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,True,11.0,9.0,1.0,1.0,0.0,3.0,3.0,6.0,8.0,1.0,,,,,22.0,21.0,6.9,4.0,44.537717326743,6.0,6.1314069086775,1.0,,"{'original': 6.9, 'alternative': 7.2}",0,-0.01,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,81.81818181818183,100.0,50.0,,,2.0,1.0,,,2.0,,1.0,2.0,2.0,,7.0353572741757,12.510361145866,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,1916326,Douglas Owusu,owusu-douglas,M,35,True,7.0,6.0,1.0,,0.0,1.0,1.0,5.0,6.0,,1.0,,,,22.0,16.0,6.9,5.0,151.84178366774,10.0,33.320791076333,1.0,,"{'original': 6.9, 'alternative': 6.3}",2,0.26,0.28,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,85.71428571428571,,100.0,,,1.0,1.0,,4.0,1.0,,,,,1.0,17.720179713529,24.327374210958,,,,,2.0,1.0,-0.07,,,2.0,1.0,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,7.0,5.0,1.0,,0.0,,,5.0,7.0,,1.0,,,,12.0,11.0,6.6,2.0,29.114770464803,5.0,25.591555198201,1.0,,"{'original': 6.6, 'alternative': 6.7}",2,-0.12,0.26,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,71.42857142857143,,,,,,,,1.0,1.0,1.0,,,,1.0,8.4075096656559,8.6784701416782,,,,,,1.0,-0.29,,,,,,1.0,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,878830,Bruno Duarte,bruno-duarte,F,17,True,8.0,7.0,,,0.0,2.0,2.0,5.0,6.0,,,,,,12.0,9.0,6.3,2.0,18.501287981662,2.0,2.1128558321055,0.0,,"{'original': 6.3, 'alternative': 6.6}",0,-0.16,-0.08,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,87.5,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,True,8.0,6.0,,,0.0,2.0,2.0,4.0,6.0,,,,,,3.0,10.0,,2.0,18.177694757983,2.0,-3.4622507619473,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,75.0,,,,,,,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,1406109,Vuk Draškić,vuk-draskic,G,28,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
