match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceCreated,blockedScoringAttempt,totalTackle,wonTackle,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,interceptionWon,unsuccessfulTouch,challengeLost,wonContest,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,penaltyWon,savedShotsFromInsideTheBox,penaltyFaced,outfielderBlock,penaltyConceded
14015597,away,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,28.0,18.0,1.0,,0.0,6.0,9.0,12.0,19.0,,8.0,,,,,79.0,55.0,5.9,22.0,183.85658773032,16.0,85.745020454882,5.0,,"{'original': 5.9, 'alternative': 6.4}",1,-0.31,0.47,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,7,3,64.28571428571429,,50.0,100.0,,6.0,3.0,1.0,,4.0,7.0,2.0,,,2.0,2.0,3.0,,25.243898207576,119.94351497251,1.0,-0.01,2.0,6.0,1.0,2.0,2.0,1.0,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,1616139,Nikola Skrobonja,nikola-skrobonja,M,44,False,17.0,13.0,,,0.0,6.0,6.0,7.0,11.0,2.0,5.0,,,,,57.0,28.0,6.6,9.0,109.82391344457,9.0,76.196724408238,3.0,,"{'original': 6.6, 'alternative': 6.6}",1,-0.08,0.32,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,3,4,76.47058823529412,,,,,1.0,,1.0,2.0,5.0,5.0,3.0,,,,,3.0,1.0,29.527774928564,74.439143355853,,-0.28,,1.0,,,,1.0,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,1166063,Uroš Sremčević,uros-sremcevic,F,17,False,18.0,11.0,1.0,1.0,0.0,2.0,3.0,9.0,15.0,,2.0,,,,,81.0,28.0,7.8,11.0,74.57787808267,7.0,38.921924381097,1.0,,"{'original': 7.8, 'alternative': 7.6}",1,-0.25,0.06,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,15,4,2,2,61.111111111111114,100.0,,,,,,7.0,8.0,9.0,10.0,1.0,,,1.0,1.0,1.0,,13.644246181067,15.567196279356,1.0,0.42,,3.0,1.0,,,,1.0,1.0,,1.0,,,,,
14015597,away,7674,FK Napredak Kruševac,1982084,Vasil Tasovski,vasil-tasovski,F,91,True,1.0,1.0,1.0,1.0,0.0,,,1.0,1.0,,1.0,,,,,24.0,2.0,6.4,1.0,3.7269624360865,1.0,0.66793842241799,0.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.02,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,100.0,100.0,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,True,5.0,3.0,1.0,,0.0,1.0,2.0,2.0,3.0,1.0,,,,,,26.0,13.0,6.7,3.0,16.510373195833,3.0,4.2425152938389,0.0,,"{'original': 6.7, 'alternative': 6.7}",0,-0.01,0.09,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,60.0,,,,,,,1.0,,1.0,3.0,,,,3.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,5.0,5.0,,,0.0,3.0,3.0,2.0,2.0,,,,,,,9.0,8.0,6.5,1.0,,,,,,"{'original': 6.5, 'alternative': 6.5}",0,0.01,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,936134,Igor Jeličić,igor-jelicic,D,88,True,4.0,2.0,2.0,,0.0,1.0,2.0,1.0,2.0,1.0,,,,,,9.0,7.0,6.2,3.0,7.8752402503035,1.0,2.9153207311092,0.0,,"{'original': 6.2, 'alternative': 6.3}",0,0.0,0.0,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,50.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,2456101,Novak Stevanović,novak-stevanovic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,1387178,Strahinja Ristić,strahinja-ristic,D,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
