match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,interceptionWon,dispossessed,keyPass,bigChanceMissed,blockedScoringAttempt,bigChanceCreated,hitWoodwork,penaltyMiss,penaltyWon,penaltyConceded
15558703,away,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,F,17,False,22.0,16.0,3.0,1.0,0.0,6.0,9.0,10.0,13.0,0.0,0.0,3.0,4.0,18.0,11.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,90.0,46.0,7.4,12.0,0.36,0.0,"{'original': 7.4, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",29,7,22,7,15,72.72727272727273,33.33333333333333,,66.66666666666666,,1.0,1.0,2.0,1.0,,1.0,,,,,
15558703,away,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,True,15.0,10.0,0.0,0.0,0.0,4.0,7.0,5.0,7.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,44.0,19.0,6.4,6.0,0.1,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,66.66666666666666,,,,,1.0,1.0,,,,,,,,,1.0
15558703,away,6216,OFK Petrovac,800100,Nikola Zvrko,nikola-zvrko,M,7,True,5.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,44.0,11.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,1,6,80.0,,100.0,0.0,,,2.0,,,,,,,,,
15558703,away,6216,OFK Petrovac,791606,Adnan Bašić,adnan-basic,F,10,True,4.0,4.0,0.0,0.0,0.0,,,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,29.0,6.0,6.6,0.0,0.0,0.01,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,,,,1.0,,,,,,,
15558703,away,6216,OFK Petrovac,1218114,Strahinja Tešović,strahinja-tesovic,M,32,True,3.0,2.0,0.0,0.0,0.0,,,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0,7.0,6.8,3.0,0.01,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,66.66666666666666,,,,,1.0,,,,,,,,,,
15558703,away,6216,OFK Petrovac,1164363,Boban Đorđević,boban-dordevic,M,9,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,6.3,0.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,,,,,,,,,
15558703,away,43979,OFK Petrovac,1149277,Janko Vukićević,janko-vukicevic,D,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
15558703,away,6216,OFK Petrovac,355010,Suad Ličina,suad-licina,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
15558703,away,6216,OFK Petrovac,101141,Marko Roganović,marko-roganovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
15558703,away,6216,OFK Petrovac,959868,Vladan Kordić,vladan-kordic,F,98,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
