match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,interceptionWon,keyPass,shotOffTarget,blockedScoringAttempt,dispossessed,penaltyWon,hitWoodwork,penaltyConceded
14147374,away,36019,FK Bokelj Kotor,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,1,False,28.0,26.0,5.0,3.0,0.0,24.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,90.0,30.0,5.7,3.0,0.0,0.0,"{'original': 5.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,92.85714285714286,60.0,,,,2.0,,,,,,,,
14147374,away,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,35.0,28.0,2.0,1.0,0.0,19.0,21.0,13.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,8.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,49.0,6.3,13.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,80.0,50.0,100.0,100.0,,8.0,1.0,,,,,,,
14147374,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,D,8,False,44.0,36.0,9.0,3.0,0.0,33.0,37.0,6.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,68.0,54.0,5.5,13.0,0.0,0.0,"{'original': 5.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,4,10,81.81818181818183,33.33333333333333,,,,2.0,1.0,,,,1.0,,,1.0
14147374,away,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,False,31.0,27.0,4.0,3.0,0.0,20.0,22.0,7.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,78.0,39.0,6.0,5.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,0,5,87.09677419354838,75.0,,,,5.0,2.0,,,,,,,
14147374,away,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,36.0,26.0,6.0,2.0,0.0,13.0,15.0,20.0,6.0,1.0,1.0,1.0,7.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,90.0,53.0,6.3,12.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,72.22222222222221,33.33333333333333,16.666666666666664,100.0,,12.0,3.0,,,,1.0,,,
14147374,away,7581,FK Bokelj Kotor,807177,Žarko Vilotijević,zarko-vilotijevic,M,80,False,9.0,9.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,13.0,12.0,3.0,1.0,0.0,0.0,"{'original': 3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,0,5,100.0,100.0,,,,4.0,,,,,,,,1.0
14147374,away,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,46.0,43.0,2.0,2.0,0.0,26.0,29.0,14.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,16.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,90.0,61.0,6.9,5.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,6,6,93.47826086956522,100.0,,50.0,,14.0,4.0,,,,,,,
14147374,away,7581,FK Bokelj Kotor,572018,Velizar Janketić,velizar-janketic,M,7,False,43.0,40.0,5.0,4.0,0.0,26.0,27.0,14.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,89.0,64.0,8.3,6.0,0.32,0.0,"{'original': 8.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,6,8,93.02325581395348,80.0,,50.0,,13.0,1.0,,,,1.0,,,
14147374,away,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,False,42.0,32.0,6.0,4.0,0.0,10.0,11.0,30.0,1.0,0.0,0.0,0.0,7.0,12.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,,,,,,90.0,76.0,7.1,14.0,0.15,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,0,19,12,7,76.19047619047619,66.66666666666666,0.0,60.0,,22.0,1.0,,,1.0,,,,
14147374,away,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,8.0,6.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,46.0,13.0,6.4,4.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,75.0,,0.0,100.0,,2.0,,,,,1.0,,,
