match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt
15280982,away,6226,FK Dečić Tuzi,78954,Žarko Tomašević,zarko-tomasevic,D,5,False,47.0,39.0,8.0,4.0,0.0,27.0,27.0,12.0,19.0,0.0,0.0,1.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,62.0,7.1,10.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,82.97872340425532,50.0,,,,,,,
15280982,away,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,D,18,False,25.0,18.0,3.0,1.0,0.0,12.0,13.0,6.0,12.0,4.0,1.0,0.0,1.0,9.0,6.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,12.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,34.0,7.4,11.0,0.13,0.0,"{'original': 7.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,5,9,72.0,33.33333333333333,25.0,,,,,1.0,1.0
15280982,away,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,M,11,False,21.0,14.0,1.0,1.0,0.0,9.0,12.0,5.0,9.0,2.0,1.0,0.0,0.0,7.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,69.0,34.0,6.6,10.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,5,7,66.66666666666666,100.0,50.0,50.0,,1.0,,,
15280982,away,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,M,10,False,73.0,66.0,6.0,3.0,0.0,46.0,48.0,18.0,23.0,1.0,1.0,0.0,0.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,91.0,6.9,11.0,0.0,0.17,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,3,11,90.41095890410958,50.0,100.0,0.0,,,1.0,,
15280982,away,6226,FK Dečić Tuzi,1035792,Petar Sekulović,petar-sekulovic,M,20,False,41.0,37.0,0.0,0.0,0.0,23.0,25.0,13.0,15.0,1.0,1.0,3.0,0.0,10.0,5.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,69.0,57.0,7.0,8.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,5,7,90.2439024390244,,100.0,66.66666666666666,,,,,
15280982,away,6226,FK Dečić Tuzi,1394763,Trimror Selimi,trimron-selimi,M,19,False,14.0,5.0,0.0,0.0,0.0,1.0,3.0,4.0,11.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,83.0,30.0,7.0,14.0,0.25,0.01,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,35.714285714285715,,0.0,100.0,,2.0,1.0,1.0,
15280982,away,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,F,74,False,34.0,31.0,4.0,3.0,0.0,10.0,10.0,19.0,22.0,1.0,1.0,3.0,1.0,9.0,4.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,79.0,50.0,7.2,13.0,0.0,0.12,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,3,6,91.17647058823529,75.0,100.0,60.0,,,1.0,1.0,
15280982,away,6226,FK Dečić Tuzi,1034556,Vuk Striković,vuk-strikovic,F,77,False,21.0,13.0,0.0,0.0,0.0,4.0,6.0,8.0,14.0,1.0,0.0,1.0,1.0,6.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,,,,,,,69.0,33.0,6.7,8.0,0.16,0.01,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,61.904761904761905,,0.0,100.0,,,1.0,1.0,
15280982,away,6226,FK Dečić Tuzi,1005614,Andrej Bajović,andrej-bajovic,M,14,True,13.0,11.0,1.0,1.0,0.0,7.0,9.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,21.0,16.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,84.61538461538461,100.0,,,,,,,
15280982,away,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,True,4.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,21.0,7.0,6.6,0.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,,0.0,,,,,
