match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,blockedScoringAttempt,shotOffTarget,hitWoodwork,keyPass,bigChanceMissed
14147372,away,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,False,12.0,9.0,1.0,1.0,0.0,3.0,3.0,5.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,53.0,22.0,6.5,8.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,75.0,100.0,100.0,,,1.0,,,,,
14147372,away,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,False,19.0,11.0,2.0,0.0,0.0,4.0,6.0,6.0,9.0,0.0,0.0,2.0,1.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,75.0,27.0,6.3,13.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,2,8,57.89473684210527,0.0,,,,,,,,,
14147372,away,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,41.0,32.0,6.0,2.0,0.0,17.0,20.0,15.0,21.0,0.0,0.0,4.0,2.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,10.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,,,,,,,90.0,56.0,6.4,14.0,0.05,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,6,13,4,9,78.04878048780488,33.33333333333333,,,,1.0,,1.0,,,
14147372,away,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,29.0,24.0,5.0,4.0,0.0,10.0,11.0,13.0,17.0,1.0,0.0,0.0,1.0,8.0,8.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,,,,,,,90.0,46.0,7.0,9.0,0.25,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,7,8,82.75862068965517,80.0,0.0,50.0,,1.0,,2.0,,,
14147372,away,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,F,10,False,39.0,34.0,1.0,1.0,0.0,6.0,6.0,27.0,32.0,5.0,3.0,4.0,2.0,11.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,,,,,,,90.0,60.0,7.3,13.0,0.0,0.28,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,6,13,6,7,87.17948717948718,100.0,60.0,66.66666666666666,,3.0,,,,3.0,
14147372,away,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,F,77,False,19.0,12.0,3.0,2.0,0.0,4.0,4.0,7.0,14.0,1.0,0.0,0.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,53.0,26.0,6.9,8.0,0.16,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,4,7,63.1578947368421,66.66666666666666,0.0,,,,,1.0,,,
14147372,away,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,17.0,11.0,2.0,0.0,0.0,3.0,4.0,8.0,13.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,37.0,28.0,6.3,5.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,4,7,64.70588235294117,0.0,0.0,33.33333333333333,,2.0,,,,,
14147372,away,327162,Mladost DG,871881,Rodrigo Faust,rodrigo-faust,F,9,True,7.0,5.0,0.0,0.0,0.0,,,5.0,7.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,37.0,15.0,7.0,3.0,0.26,0.05,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,71.42857142857143,,,100.0,,2.0,,1.0,,1.0,
14147372,away,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,D,44,True,21.0,13.0,6.0,3.0,0.0,3.0,5.0,10.0,16.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,21.0,23.0,6.9,10.0,0.0,0.06,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,61.904761904761905,50.0,66.66666666666666,,,,,,,1.0,
14147372,away,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,D,66,True,9.0,8.0,2.0,2.0,0.0,2.0,2.0,6.0,7.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,15.0,11.0,6.8,2.0,0.0,0.05,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,88.88888888888889,100.0,100.0,,,,,,,1.0,
14147372,away,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,M,29,True,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,15.0,3.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,,,,,,
14147372,away,327162,Mladost DG,1094114,Rajko Boljević,rajko-boljevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147372,away,37958,Mladost DG,1005618,Nikola Vukotić,nikola-vukotic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147372,away,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
