match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,onTargetScoringAttempt,goals,outfielderBlock,shotValueNormalized,challengeLost,dispossessed,shotOffTarget,hitWoodwork,errorLeadToAShot,accurateCross,wasFouled,blockedScoringAttempt,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015607,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,31.0,25.0,2.0,1.0,0.0,10.0,11.0,15.0,20.0,3.0,,,,90.0,44.0,6.6,12.0,135.77686823638,18.0,59.05515815171,0.0,,"{'original': 6.6, 'alternative': 7.1}",2,-0.07,0.21,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,3,0,80.64516129032258,50.0,25.0,100.0,,4.0,1.0,1.0,1.0,4.0,2.0,2.0,,,1.0,1.0,3.0,,,,2.0,1.0,,,0.11,,,,,,1.0,,1.0,,,
14015607,away,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,14.0,13.0,,,0.0,8.0,8.0,5.0,6.0,2.0,,,,45.0,21.0,6.2,4.0,111.72000533726,11.0,19.574643581427,1.0,,"{'original': 6.2, 'alternative': 6.3}",0,-0.06,0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,92.85714285714286,,,,,,,,2.0,,,,,,,,2.0,1.0,22.352568259229,22.889406305101,,,,,,,1.0,,,,,,,,,
14015607,away,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,10.0,6.0,1.0,1.0,0.0,2.0,2.0,4.0,8.0,1.0,,,,90.0,20.0,6.3,7.0,25.027772634103,5.0,6.8892011951906,0.0,,"{'original': 6.3, 'alternative': 6.8}",3,-0.18,0.02,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,2,2,60.0,100.0,,,,,5.0,2.0,7.0,4.0,1.0,,1.0,,1.0,1.0,2.0,,,,,1.0,,,-0.52,1.0,,1.0,,,,1.0,1.0,,,
14015607,away,5148,FK Čukarički,1865407,Luka Đorđević,luka-djordevic,F,19,True,11.0,6.0,2.0,1.0,0.0,3.0,3.0,3.0,8.0,1.0,,,,45.0,18.0,6.3,9.0,139.16520438561,11.0,27.76219840321,0.0,,"{'original': 6.3, 'alternative': 6.5}",1,-0.24,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,54.54545454545454,50.0,,,,2.0,,,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,0.01,,1.0,,,,,1.0,1.0,,,
14015607,away,362051,FK Čukarički,1165845,Ognjen Abramušić,ognjen-abramusic,M,33,True,31.0,28.0,,,0.0,7.0,7.0,21.0,24.0,1.0,,,,36.0,38.0,6.9,5.0,187.50857335294,19.0,107.78171034875,2.0,,"{'original': 6.9, 'alternative': 7}",1,0.16,0.17,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,2,0,90.32258064516128,,,,,1.0,2.0,2.0,2.0,4.0,,,1.0,,1.0,,1.0,,34.036157662845,57.982244162677,1.0,,,,-0.07,,,,,,,1.0,1.0,,,
14015607,away,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,True,14.0,12.0,2.0,1.0,0.0,6.0,6.0,6.0,8.0,5.0,,,,24.0,24.0,6.5,8.0,107.75553803345,12.0,52.865045515489,1.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.18,0.13,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,1,6,85.71428571428571,50.0,,,,,1.0,1.0,7.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,13.115077484543,13.483501622353,2.0,1.0,,,-0.02,,3.0,,,,,,,,,
14015607,away,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,3.0,,,,0.0,,,,3.0,,,,,16.0,7.0,6.1,6.0,4.0867537239232,1.0,3.3639733721262,0.0,,"{'original': 6.1, 'alternative': 6.5}",0,-0.34,0.08,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,1,0,,,,,,1.0,3.0,1.0,3.0,2.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14015607,away,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,True,13.0,12.0,1.0,1.0,0.0,5.0,6.0,7.0,7.0,2.0,,,,16.0,22.0,6.9,1.0,13.301649130361,3.0,8.9810753441156,0.0,,"{'original': 6.9, 'alternative': 6.7}",1,0.14,0.01,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,92.3076923076923,100.0,,,,,1.0,,2.0,3.0,,,1.0,1.0,3.0,1.0,,1.0,,,,,,,-0.01,,,1.0,,,,,,,,
14015607,away,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,away,5148,FK Čukarički,1584983,Vladan Čarapić,vladan-carapic,G,81,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,away,5148,FK Čukarički,1595518,Veljko Radosavljević,veljko-radosavljevic,M,86,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,away,5148,FK Čukarički,1595759,Ismael Maiga,ismael-maiga,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,away,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
