match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,bigChanceMissed,onTargetScoringAttempt,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialWon,bigChanceCreated,interceptionWon,totalContest,wonContest,blockedScoringAttempt,shotOffTarget,goals,dispossessed,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015497,away,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,,,23.0,5.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.7}",1,-0.03,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,50.0,,,,,,,,1.0,2.0,,,1.0,,,,,1.0,,,-0.08,1.0,,,,,,,,1.0,,,
14015497,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,5.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,,,,,,,23.0,7.0,6.7,2.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.11,-0.17,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,100.0,100.0,,,,,,2.0,3.0,1.0,1.0,,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,
14015497,away,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,9.0,8.0,4.0,3.0,0.0,4.0,4.0,4.0,5.0,2.0,2.0,,,,,22.0,19.0,7.0,2.0,,"{'original': 7, 'alternative': 7}",1,0.07,0.16,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,88.88888888888889,75.0,100.0,50.0,,1.0,1.0,,1.0,3.0,,,,,,,,1.0,,1.0,-0.29,1.0,,,2.0,1.0,,1.0,,,,,
14015497,away,241802,FK Mladost Lučani,280827,Danilo Pantić,danilo-pantic,M,5,True,9.0,7.0,,,0.0,3.0,3.0,4.0,6.0,,1.0,,,,,22.0,11.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.5}",1,-0.14,0.05,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,77.77777777777779,,,,,,,,,1.0,,,,,,,,1.0,,,-0.49,,,,,,1.0,,,,,,
14015497,away,324865,FK Mladost Lučani,1865415,Jagoš Ðurković,jagos-djurkovic,M,42,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,,,,3.0,3.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
14015497,away,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,away,7771,FK Mladost Lučani,1463374,Nikola Popović,nikola-popovic,G,21,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,away,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,away,7771,FK Mladost Lučani,1859502,Ognjen Alempijević,ognjen-alempijevic,F,31,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,away,25733,FK Mladost Lučani,1595520,Đorđe Marinković,djordje-marinkovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,away,5160,FK Mladost Lučani,177037,Miloš Mijić,milos-mijic,M,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
