match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,duelWon,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,totalCross,accurateCross,aerialLost,aerialWon,challengeLost,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,shotValueNormalized,unsuccessfulTouch,shotOffTarget,totalContest,wonContest,goals,totalOffside,bigChanceMissed,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,bigChanceCreated,clearanceOffLine
14015495,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,11.0,7.0,,,0.0,5.0,5.0,2.0,6.0,,,,90.0,20.0,5.6,7.0,,"{'original': 5.6, 'alternative': 6.5}",5,-0.29,-0.56,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,9,5,0,5,63.63636363636363,,,,,11.0,3.0,,,,,2.0,1.0,,,6.0,3.0,,3.0,1.0,,,-0.59,,4.0,,,,,1.0,,,,,
14015495,home,3009,FK Novi Pazar,1617764,Ejike Opara,ejike-opara,F,11,True,13.0,10.0,,,0.0,4.0,5.0,6.0,8.0,1.0,,,62.0,22.0,6.4,8.0,,"{'original': 6.4, 'alternative': 6.7}",0,0.3,-0.2,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,0,5,76.92307692307693,,50.0,,,5.0,1.0,,,,,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,1.0,,2.0,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,19.0,18.0,3.0,2.0,0.0,2.0,2.0,16.0,17.0,2.0,,,45.0,19.0,7.1,1.0,,"{'original': 7.1, 'alternative': 6.8}",0,0.43,0.16,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,94.73684210526315,66.66666666666666,,,,2.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,5.0,1.0,,,0.0,,,1.0,5.0,,,,45.0,17.0,6.5,9.0,,"{'original': 6.5, 'alternative': 6.4}",2,0.11,0.18,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,20.0,,100.0,,,3.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,2.0,1.0,-0.28,3.0,,2.0,,,,,,,,,
14015495,home,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,,,,,0.0,,,,,,,,1.0,1.0,,,,,1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,10,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
