match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,bigChanceCreated,interceptionWon,keyPass,shotOffTarget,penaltyWon,dispossessed,bigChanceMissed,blockedScoringAttempt,savedShotsFromInsideTheBox,penaltyConceded
14147357,home,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,F,11,False,9.0,7.0,2.0,2.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,46.0,23.0,6.6,7.0,0.03,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,4,8,77.77777777777779,100.0,,,,4.0,,,,,,,,1.0,,
14147357,home,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,True,28.0,24.0,2.0,1.0,0.0,5.0,5.0,23.0,0.0,0.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,44.0,34.0,6.5,3.0,0.05,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,85.71428571428571,50.0,,,,19.0,,,,,,,,1.0,,
14147357,home,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,F,29,True,9.0,7.0,1.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28.0,14.0,6.5,5.0,0.1,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,77.77777777777779,100.0,,,,5.0,,,,,,,,1.0,,
14147357,home,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,True,12.0,8.0,1.0,1.0,0.0,1.0,1.0,11.0,3.0,0.0,1.0,2.0,4.0,9.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,28.0,29.0,7.5,6.0,0.32,0.1,"{'original': 7.5, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,7,3,66.66666666666666,100.0,0.0,83.33333333333334,,7.0,,,1.0,1.0,,,,1.0,,
14147357,home,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,True,7.0,4.0,0.0,0.0,0.0,,,7.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,21.0,12.0,6.3,3.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,57.14285714285714,,0.0,,,4.0,,,,,,,,,,
14147357,home,327162,Mladost DG,1094114,Rajko Boljević,rajko-boljevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147357,home,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147357,home,37958,Mladost DG,1005618,Nikola Vukotić,nikola-vukotic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147357,home,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,D,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147357,home,6225,Mladost DG,804420,Zeljko Krstovic,zeljko-krstovic,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
