match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotOffTarget,interceptionWon,shotValueNormalized,challengeLost,dispossessed,totalContest,wonContest,keyPass,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,goodHighClaim,punches,bigChanceCreated,errorLeadToAGoal,goals
14015520,away,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,27.0,13.0,2.0,,0.0,6.0,12.0,7.0,15.0,,8.0,,,,,87.0,56.0,5.6,31.0,,"{'original': 5.6, 'alternative': 5.7}",2,-0.03,0.17,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,5,11,48.148148148148145,,,16.666666666666664,,,,1.0,2.0,12.0,7.0,,2.0,2.0,6.0,2.0,,1.0,,-0.21,1.0,5.0,6.0,1.0,1.0,,1.0,,,,,1.0,
14015520,away,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,M,17,False,9.0,8.0,,,0.0,5.0,6.0,3.0,3.0,,,,,,,45.0,17.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.05,-0.05,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,88.88888888888889,,,,,2.0,,3.0,1.0,4.0,2.0,,1.0,1.0,3.0,,,,,,,,1.0,,,,,,,,,,
14015520,away,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,False,16.0,6.0,,,0.0,3.0,5.0,3.0,11.0,,1.0,,,,,89.0,28.0,7.1,17.0,,"{'original': 7.1, 'alternative': 7.4}",2,0.0,0.08,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,11,3,2,1,37.5,,,50.0,,,,8.0,3.0,9.0,5.0,,,,6.0,1.0,,,,0.45,,,2.0,1.0,1.0,2.0,,,,,,,1.0
14015520,away,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,True,9.0,6.0,3.0,1.0,0.0,5.0,8.0,1.0,1.0,4.0,1.0,,,,,45.0,16.0,6.7,3.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.0,0.06,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,66.66666666666666,33.33333333333333,,,,,,3.0,1.0,5.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,
14015520,away,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,F,21,True,12.0,7.0,4.0,1.0,0.0,1.0,3.0,6.0,9.0,,2.0,,,,,45.0,21.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.05,-0.52,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,58.333333333333336,25.0,,,,1.0,,2.0,1.0,5.0,2.0,,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,
14015520,away,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,True,3.0,2.0,2.0,1.0,0.0,,,2.0,3.0,,,,,,,9.0,5.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.05,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,50.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
14015520,away,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,True,3.0,2.0,,,0.0,,,2.0,3.0,1.0,,,,,,1.0,6.0,,2.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,66.66666666666666,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,
14015520,away,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,away,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,away,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,away,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,away,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,away,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,away,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
