match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,challengeLost,totalContest,totalClearance,clearanceOffLine,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,fouls,aerialWon,blockedScoringAttempt,errorLeadToAShot,penaltyConceded,shotValueNormalized,wonContest,totalTackle,wonTackle,totalCross,accurateCross,dispossessed,shotOffTarget,totalOffside,keyPass,bigChanceCreated,onTargetScoringAttempt,hitWoodwork,bigChanceMissed,goals
14015453,home,324661,OFK Beograd,77512,Stefan Šćepović,stefan-scepovic,F,12,False,10.0,6.0,1.0,,0.0,2.0,2.0,4.0,8.0,,,,,,56.0,17.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.9}",1,-0.09,0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,60.0,,,,,2.0,2.0,2.0,,,,,,,2.0,1.0,,,,,,-0.08,,1.0,1.0,,,,1.0,,1.0,,,1.0,,
14015453,home,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,True,19.0,12.0,2.0,,0.0,3.0,6.0,9.0,13.0,3.0,,,,,63.0,37.0,6.3,12.0,,"{'original': 6.3, 'alternative': 6.7}",0,-0.03,0.02,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,63.1578947368421,,,,,,1.0,5.0,,,2.0,,,,1.0,,1.0,2.0,,,,,,3.0,3.0,2.0,,,,,1.0,,,,,
14015453,home,5153,OFK Beograd,1939189,Mamadou Fall,moustapha-fall,D,26,True,21.0,15.0,2.0,2.0,0.0,4.0,5.0,11.0,16.0,2.0,,,,,45.0,48.0,7.0,12.0,,"{'original': 7, 'alternative': 7}",0,0.06,0.03,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,5,0,71.42857142857143,100.0,,,,2.0,2.0,7.0,,,1.0,,2.0,,2.0,2.0,,2.0,,,,,,3.0,1.0,1.0,,,,,,,,,,
14015453,home,5149,OFK Beograd,1937553,Jay Enem,tyron-enem-jay-ifeanyi-junior,F,22,True,11.0,9.0,,,0.0,3.0,3.0,6.0,8.0,,,,,,34.0,13.0,6.7,2.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.03,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,1,0,81.81818181818183,,,,,2.0,2.0,3.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
14015453,home,5153,OFK Beograd,1183887,Henry Addo,addo-henry,M,43,True,10.0,5.0,1.0,,0.0,,,5.0,10.0,1.0,,,,,34.0,21.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.5}",2,-0.19,0.26,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,50.0,,,100.0,,,3.0,5.0,,2.0,,,,,2.0,1.0,3.0,1.0,1.0,,,-0.69,2.0,1.0,1.0,2.0,,,1.0,,,,,,1.0,
14015453,home,47321,OFK Beograd,1544616,Hugo Alba,hugo-alba,F,9,True,,,,,0.0,,,,,,,,,,12.0,1.0,6.5,,,"{'original': 6.5, 'alternative': 6.6}",0,,,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015453,home,5153,OFK Beograd,1982018,Issiaka Dembele,issiaka-dembele,M,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,home,5149,OFK Beograd,1406109,Vuk Draškić,vuk-draskic,G,28,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,home,6079,OFK Beograd,1465579,Mihajlo Petrović,mihajlo-petrovic,M,13,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,home,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,home,5153,OFK Beograd,352610,Miloš Pantović,milos-pantovic,M,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,home,5153,OFK Beograd,94538,Saša Marković,sasa-markovic,M,10,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,away,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,16.0,8.0,12.0,5.0,0.0,5.0,7.0,3.0,9.0,7.0,,1.0,,1.0,90.0,22.0,6.9,8.0,0.0299,"{'original': 6.9, 'alternative': 6.9}",0,0.02,0.01,0.14,0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,41.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
