match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,dispossessed,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,shotOffTarget,shotValueNormalized,onTargetScoringAttempt,goals,interceptionWon,totalCross,challengeLost,wasFouled,accurateCross,totalContest,wonContest,outfielderBlock,keyPass,totalOffside,bigChanceCreated,blockedScoringAttempt,bigChanceMissed
14015536,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,M,94,False,11.0,10.0,1.0,1.0,0.0,2.0,2.0,8.0,9.0,2.0,,,72.0,21.0,6.4,8.0,125.67902111683,9.0,-122.43,-3.78,,"{'original': 6.4, 'alternative': 6.5}",0,-0.08,0.16,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,90.9090909090909,100.0,,,,,3.0,1.0,2.0,,,,2.0,,1.0,,,,,,2.0,,1.0,,,,,1.0,,,,
14015536,away,308176,FK IMT Beograd,1917883,Oriyomi Lebi,oriyomi-lebi,F,19,False,16.0,8.0,2.0,,0.0,3.0,5.0,5.0,11.0,1.0,,,89.0,33.0,7.2,13.0,57.976731537148,8.0,9.555,10.5,,"{'original': 7.2, 'alternative': 7.4}",2,-0.28,0.34,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,15,6,5,1,50.0,,,100.0,,2.0,14.0,7.0,1.0,1.0,,,3.0,,13.0,1.0,0.52,1.0,1.0,1.0,,,4.0,,1.0,1.0,,,,,,
14015536,away,241802,FK IMT Beograd,797763,Olivier Thill,olivier-thill,M,18,True,27.0,23.0,3.0,2.0,0.0,6.0,7.0,17.0,20.0,3.0,,,25.0,30.0,6.6,5.0,160.41945671959,13.0,-104.79,5.04,,"{'original': 6.6, 'alternative': 6.8}",2,0.16,0.21,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,85.18518518518519,66.66666666666666,,,,,3.0,,,,,,1.0,2.0,1.0,1.0,-0.15,1.0,,,,,,,,,,1.0,,,,
14015536,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,7.0,7.0,,,0.0,3.0,3.0,4.0,4.0,,,,25.0,14.0,6.6,4.0,27.846051517488,3.0,-11.76,3.045,,"{'original': 6.6, 'alternative': 6.8}",1,-0.03,0.04,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,,,,1.0,1.0,2.0,1.0,,,,1.0,,,,-0.21,1.0,,,1.0,,1.0,,,,,,,,,1.0
14015536,away,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,True,7.0,4.0,,,0.0,2.0,2.0,2.0,5.0,1.0,,,18.0,23.0,6.9,10.0,132.72545118186,9.0,-59.955,20.58,,"{'original': 6.9, 'alternative': 7.6}",1,-0.17,0.23,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,57.14285714285714,,,100.0,,1.0,,4.0,,,1.0,1.0,2.0,,,1.0,-0.16,,,,5.0,,,,2.0,2.0,,2.0,,1.0,,
14015536,away,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,True,2.0,,,,0.0,,,,2.0,,,,18.0,2.0,6.1,2.0,14.004530838268,1.0,-12.39,-12.39,,"{'original': 6.1, 'alternative': 6.4}",0,-0.37,0.07,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
14015536,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,2.0,1.0,,,0.0,,,1.0,2.0,1.0,,,1.0,4.0,,2.0,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,50.0,,,,,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015536,away,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,away,1210144,FK IMT Beograd,2319703,Aleksa Mitić,aleksa-mitic,F,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,away,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,away,353746,FK IMT Beograd,2334130,Andrej Milanović,andrej-milanovic,D,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,away,246604,FK IMT Beograd,1595696,Stefan Baltic,stefan-baltic,F,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
