match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,duelWon,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialWon,challengeLost,dispossessed,outfielderBlock,errorLeadToAShot,fouls,accurateCross,keyPass,onTargetScoringAttempt,shotValueNormalized,bigChanceCreated,shotOffTarget,goals,totalOffside,totalKeeperSweeper,accurateKeeperSweeper,blockedScoringAttempt,hitWoodwork,bigChanceMissed
14925202,away,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,68.0,63.0,7.0,5.0,0.0,25.0,27.0,38.0,41.0,,9.0,,,,90.0,76.0,7.3,8.0,,"{'original': 7.3, 'alternative': 7}",0,0.45,0.2,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,92.64705882352942,71.42857142857143,,,,1.0,,3.0,2.0,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,
14925202,away,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,54.0,47.0,2.0,2.0,0.0,25.0,26.0,22.0,28.0,,4.0,,,,81.0,68.0,6.9,13.0,,"{'original': 6.9, 'alternative': 7.2}",1,-0.08,0.3,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,87.03703703703704,100.0,16.666666666666664,66.66666666666666,,6.0,,2.0,6.0,3.0,2.0,1.0,1.0,,,1.0,2.0,1.0,,,,,1.0,1.0,1.0,0.01,,,,,,,,,
14925202,away,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,29.0,23.0,2.0,2.0,0.0,6.0,8.0,17.0,21.0,1.0,2.0,,,,90.0,52.0,6.2,15.0,,"{'original': 6.2, 'alternative': 7}",5,-0.6,0.01,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,79.3103448275862,100.0,,,,5.0,1.0,4.0,5.0,1.0,,,1.0,,3.0,4.0,,1.0,,,,1.0,,,1.0,-0.46,,1.0,,1.0,,,3.0,,1.0
14925202,away,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,False,46.0,40.0,,,0.0,11.0,12.0,29.0,34.0,,4.0,,,,90.0,61.0,6.6,13.0,,"{'original': 6.6, 'alternative': 7.1}",2,0.26,0.3,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,86.95652173913044,,50.0,66.66666666666666,,2.0,2.0,5.0,3.0,3.0,2.0,,1.0,1.0,4.0,,,,1.0,,,1.0,1.0,3.0,,-0.52,,2.0,,,,,,,
14925202,away,5149,FK Crvena zvezda,278763,Mirko Ivanić,mirko-ivanic,M,4,False,54.0,40.0,5.0,4.0,1.0,7.0,9.0,33.0,45.0,,4.0,,,,90.0,77.0,9.0,20.0,,"{'original': 9, 'alternative': 9.2}",3,0.7,0.66,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,74.07407407407408,80.0,50.0,,,8.0,,,4.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,4.0,3.0,2.0,0.46,1.0,,1.0,,,,1.0,,
14925202,away,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,F,10,False,31.0,28.0,2.0,2.0,0.0,11.0,11.0,17.0,20.0,,1.0,,,,89.0,42.0,7.4,8.0,,"{'original': 7.4, 'alternative': 7.7}",4,0.07,0.08,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,90.32258064516128,100.0,,,,2.0,1.0,5.0,3.0,,,,,,,1.0,2.0,1.0,3.0,,,,,1.0,2.0,0.33,,2.0,1.0,,,,,,1.0
14925202,away,5149,FK Crvena zvezda,802665,Nemanja Radonjić,nemanja-radonjic,M,49,True,4.0,2.0,,,0.0,,,2.0,4.0,,,,,,9.0,10.0,6.0,6.0,,"{'original': 6, 'alternative': 5.9}",0,-0.05,-0.33,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,0,5,50.0,,,,,,,5.0,,1.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,
14925202,away,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,10.0,4.0,6.6,,,"{'original': 6.6, 'alternative': 6.7}",0,-0.06,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,100.0,,100.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
14925202,away,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,away,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,away,5149,FK Crvena zvezda,1939194,Stefan Gudelj,stefan-gudelj,D,45,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,away,5149,FK Crvena zvezda,939721,Milson,milson,M,7,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
