match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,wasFouled,fouls,keyPass,challengeLost,shotOffTarget,outfielderBlock,shotValueNormalized,bigChanceCreated,totalCross,accurateCross,blockedScoringAttempt,bigChanceMissed,hitWoodwork,totalOffside,goodHighClaim,onTargetScoringAttempt
14015439,home,7771,FK Mladost Lučani,1835422,Ognjen Bondžulić,ognjen-bondzulic,F,11,False,,,,,0.0,,,,,,,,,,,,7.0,2.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,1595643,Jovan Ćirić,jovan-ciric,M,25,True,4.0,2.0,1.0,,0.0,1.0,2.0,1.0,2.0,,2.0,,,,,,83.0,16.0,6.1,12.0,,"{'original': 6.1, 'alternative': 6.3}",0,-0.08,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,50.0,,,,,3.0,,6.0,1.0,2.0,,,,,,,6.0,1.0,1.0,,,,,,,2.0,,,,,1.0,,
14015439,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,M,10,True,8.0,5.0,1.0,,0.0,5.0,5.0,,3.0,,,,,,,,21.0,10.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.07,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,62.5,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,2.0,1.0,1.0,,0.0,1.0,1.0,,1.0,2.0,,,,,,,8.0,5.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.01,,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,50.0,,,,,2.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015439,home,229348,FK Mladost Lučani,341339,Nemanja Ahčin,nemanja-ahcin,M,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,home,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,home,5160,FK Mladost Lučani,177037,Miloš Mijić,milos-mijic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,D,18,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,away,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,13.0,12.0,4.0,3.0,0.0,10.0,10.0,2.0,3.0,,7.0,,,,,,90.0,19.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.05,-0.01,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,92.3076923076923,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
14015439,away,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,55.0,47.0,8.0,3.0,0.0,16.0,18.0,31.0,37.0,4.0,7.0,,,,,,90.0,77.0,7.5,11.0,,"{'original': 7.5, 'alternative': 7.5}",2,0.23,0.31,0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,85.45454545454545,37.5,50.0,,,,,,2.0,,,,,1.0,,,1.0,1.0,,1.0,,2.0,1.0,-0.24,,2.0,1.0,,,,,,
