match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialLost,aerialWon,onTargetScoringAttempt,goals,challengeLost,bigChanceMissed,dispossessed,blockedScoringAttempt,hitWoodwork,bigChanceCreated,errorLeadToAShot,penaltyMiss,totalOffside,penaltyFaced,punches,outfielderBlock,penaltyConceded,clearanceOffLine
14015470,home,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,31.0,26.0,10.0,6.0,0.0,23.0,26.0,3.0,5.0,12.0,4.0,6.0,90.0,40.0,7.4,5.0,0.4244,"{'original': 7.4, 'alternative': 7.6}",0,0.04,0.0,-0.02,0.38,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.87096774193549,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015470,home,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,D,24,False,21.0,19.0,2.0,1.0,0.0,12.0,12.0,7.0,9.0,3.0,,,45.0,36.0,6.7,4.0,,"{'original': 6.7, 'alternative': 7}",1,0.25,-0.06,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,90.47619047619048,50.0,50.0,100.0,,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,-0.04,,,,,,,,,,,,,,,,,,
14015470,home,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,False,64.0,62.0,3.0,2.0,0.0,37.0,37.0,25.0,27.0,7.0,,,90.0,77.0,7.9,3.0,,"{'original': 7.9, 'alternative': 7.7}",1,0.26,0.09,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,96.875,66.66666666666666,,,,,,2.0,1.0,,,,8.0,2.0,,,,,,,0.52,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14015470,home,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,76.0,68.0,9.0,7.0,0.0,45.0,48.0,23.0,28.0,7.0,,,89.0,89.0,6.7,10.0,,"{'original': 6.7, 'alternative': 7.1}",2,0.18,0.15,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,89.47368421052632,77.77777777777779,,100.0,,,,2.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,,1.0,-0.68,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,
14015470,home,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,False,53.0,46.0,1.0,1.0,0.0,23.0,24.0,23.0,29.0,3.0,,,90.0,80.0,7.2,17.0,,"{'original': 7.2, 'alternative': 7}",0,0.42,0.19,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,86.79245283018868,100.0,30.0,50.0,,10.0,3.0,4.0,3.0,2.0,1.0,,1.0,1.0,1.0,,,,,3.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,
14015470,home,5149,FK Crvena zvezda,278763,Mirko Ivanić,mirko-ivanic,M,4,False,36.0,24.0,4.0,1.0,0.0,5.0,5.0,19.0,31.0,5.0,,,90.0,59.0,7.5,20.0,,"{'original': 7.5, 'alternative': 7.6}",5,-0.23,0.61,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,66.66666666666666,25.0,,50.0,,4.0,,6.0,5.0,2.0,1.0,3.0,2.0,,2.0,1.0,2.0,1.0,2.0,2.0,0.45,3.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,
14015470,home,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,26.0,24.0,1.0,1.0,0.0,13.0,13.0,11.0,13.0,,,,45.0,36.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.6}",1,0.06,0.02,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,2,5,92.3076923076923,100.0,,,,2.0,,5.0,2.0,1.0,,1.0,1.0,,2.0,1.0,,,1.0,,-0.3,,,,,1.0,,2.0,,,,,,,,,,,
14015470,home,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,44.0,40.0,8.0,7.0,0.0,14.0,16.0,26.0,28.0,4.0,,,90.0,67.0,7.5,10.0,,"{'original': 7.5, 'alternative': 7.4}",2,0.53,0.64,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,2,6,90.9090909090909,87.5,60.0,33.33333333333333,,5.0,3.0,6.0,2.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,,2.0,4.0,-0.05,,,,,1.0,,1.0,2.0,,1.0,,,,,,,,
14015470,home,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,F,40,False,15.0,12.0,,,0.0,3.0,3.0,9.0,12.0,2.0,,,45.0,25.0,7.5,6.0,,"{'original': 7.5, 'alternative': 6.8}",1,0.79,0.25,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,80.0,,50.0,,,2.0,1.0,3.0,2.0,1.0,,,,1.0,,,,2.0,1.0,2.0,-0.22,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,
14015470,home,5149,FK Crvena zvezda,878830,Bruno Duarte,bruno-duarte,F,17,False,11.0,9.0,,,0.0,4.0,5.0,5.0,6.0,1.0,,,44.0,24.0,4.5,6.0,,"{'original': 4.5, 'alternative': 5.9}",6,-0.05,0.08,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,81.81818181818183,,,100.0,,,,5.0,3.0,2.0,2.0,3.0,1.0,,,,3.0,,2.0,1.0,-0.99,1.0,1.0,3.0,,1.0,3.0,1.0,,,,,,,,,,,
