match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,interceptionWon,wasFouled,fouls,keyPass,aerialLost,dispossessed,outfielderBlock,errorLeadToAShot,bigChanceCreated,totalTackle,wonTackle,unsuccessfulTouch,bestBallCarryProgression,totalProgressiveBallCarriesDistance,challengeLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,shotValueNormalized,goals
14015586,home,5152,FK Partizan,1983654,Dušan Jovanović,dusan-jovanovic,F,79,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015586,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015586,away,36967,FK Spartak Subotica,1049522,Aleksandar Vulić,aleksandar-vulic,G,1,False,22.0,7.0,14.0,,0.0,6.0,8.0,1.0,14.0,,10.0,1.0,1.0,4.0,,90.0,32.0,5.8,15.0,82.247026581785,8.0,38.827208515086,0.0,0.3518,"{'original': 5.8, 'alternative': 6.5}",0,0.01,0.01,-0.17,0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,31.818181818181817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015586,away,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,D,22,False,12.0,10.0,,,0.0,5.0,5.0,5.0,7.0,,1.0,,,,,70.0,18.0,6.1,5.0,86.674103496365,9.0,44.840845487097,1.0,,"{'original': 6.1, 'alternative': 6.2}",0,-0.07,0.08,-0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,83.33333333333334,,,50.0,,1.0,,1.0,2.0,3.0,,,,,,1.0,,,,1.0,1.0,,15.451611674646,22.260934751263,,2.0,1.0,,,,,1.0,,
14015586,away,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,D,2,False,33.0,23.0,3.0,1.0,0.0,17.0,18.0,6.0,15.0,1.0,3.0,,,,,90.0,37.0,6.4,10.0,136.56014344796,17.0,87.612419734343,1.0,,"{'original': 6.4, 'alternative': 6.6}",0,-0.13,0.1,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,69.6969696969697,33.33333333333333,,,,,,2.0,,4.0,1.0,1.0,,,,,,,,1.0,1.0,,16.94502657335,17.053285929697,,,,,,,,,,
14015586,away,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,D,5,False,73.0,61.0,8.0,2.0,0.0,36.0,39.0,25.0,34.0,10.0,6.0,,,,,90.0,87.0,6.6,12.0,483.0262018815,42.0,224.49642920212,3.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.3,0.31,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,83.56164383561644,25.0,,100.0,,,,2.0,2.0,4.0,1.0,,1.0,,1.0,,,,,,,,28.377465954072,101.84104525599,,2.0,2.0,,,,,,,
14015586,away,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,46.0,41.0,3.0,1.0,0.0,29.0,31.0,12.0,15.0,1.0,3.0,,,,,90.0,52.0,5.8,5.0,147.16421634698,17.0,3.46035628109,1.0,,"{'original': 5.8, 'alternative': 6.4}",1,0.05,0.04,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,89.13043478260869,33.33333333333333,,,,,,,3.0,1.0,,,2.0,,1.0,,,,,1.0,1.0,,16.306864433705,17.408205680081,,,,,1.0,,,,-0.03,
14015586,away,36967,FK Spartak Subotica,606608,Cajú,caju,D,13,False,11.0,9.0,2.0,1.0,0.0,7.0,8.0,2.0,3.0,,,,,,,44.0,22.0,6.5,9.0,111.36018741604,10.0,52.653441191123,3.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.04,0.08,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,81.81818181818183,50.0,,,,5.0,,,1.0,2.0,,,,,,,,,,2.0,1.0,1.0,21.513808678471,70.541515894682,1.0,,,,,,,,,
14015586,away,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,M,20,False,10.0,9.0,1.0,,0.0,4.0,4.0,5.0,6.0,,1.0,,,,,56.0,18.0,5.8,7.0,27.369926883748,5.0,7.1657538054087,0.0,,"{'original': 5.8, 'alternative': 6.2}",0,0.01,0.01,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,90.0,,,100.0,,1.0,,,6.0,2.0,,,4.0,,1.0,1.0,,,,1.0,1.0,4.0,,,,1.0,1.0,,,,,,,
14015586,away,36967,FK Spartak Subotica,948694,Nikola Kuveljić,nikola-kuveljic,M,33,False,31.0,29.0,,,0.0,15.0,16.0,14.0,15.0,2.0,2.0,,,,,90.0,49.0,6.1,9.0,138.37236877304,17.0,42.516310372365,1.0,,"{'original': 6.1, 'alternative': 6.3}",2,0.15,0.14,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,0,4,93.54838709677419,,,,,2.0,,2.0,7.0,2.0,2.0,,2.0,,3.0,,,,,,,3.0,20.548639775945,21.385933718218,1.0,1.0,,1.0,2.0,,,,-0.48,
