match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,aerialLost,dispossessed,outfielderBlock,wasFouled,fouls,totalContest,wonContest,penaltyConceded,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,shotValueNormalized,bigChanceCreated,shotOffTarget,hitWoodwork,goals,punches,totalOffside
14015485,home,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015485,home,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015485,away,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,22.0,17.0,6.0,1.0,0.0,16.0,16.0,1.0,6.0,6.0,,2.0,,4.0,90.0,33.0,6.8,5.0,0.5757,"{'original': 6.8, 'alternative': 6.7}",0,0.05,0.0,-0.27,0.4,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.27272727272727,16.666666666666664,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,
14015485,away,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,30.0,25.0,1.0,1.0,0.0,8.0,11.0,17.0,19.0,3.0,,,,,90.0,54.0,6.2,17.0,,"{'original': 6.2, 'alternative': 6.7}",0,0.25,0.07,-0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,83.33333333333334,100.0,25.0,100.0,,8.0,1.0,3.0,4.0,,1.0,,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,
14015485,away,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,33.0,27.0,6.0,2.0,0.0,12.0,14.0,15.0,19.0,2.0,,,,,90.0,52.0,6.5,7.0,,"{'original': 6.5, 'alternative': 7}",1,0.17,0.04,-0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,3,4,81.81818181818183,33.33333333333333,,,,,3.0,4.0,6.0,1.0,5.0,4.0,2.0,2.0,1.0,1.0,,,1.0,1.0,3.0,,,,,,,-0.09,,1.0,,,,
14015485,away,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,30.0,24.0,7.0,3.0,0.0,18.0,19.0,6.0,11.0,3.0,,,,,90.0,54.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.24,0.08,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,80.0,42.857142857142854,100.0,,,1.0,3.0,1.0,6.0,,15.0,,1.0,,,1.0,,,,2.0,,1.0,,,1.0,,,,,,,,,
14015485,away,241802,FK Radnik Surdulica,357742,Pedro Empis,empis-pedro,D,15,False,7.0,4.0,,,0.0,2.0,5.0,2.0,2.0,2.0,,,,,45.0,18.0,6.1,6.0,,"{'original': 6.1, 'alternative': 6.3}",0,0.01,-0.06,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,57.14285714285714,,,,,1.0,,3.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,
14015485,away,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,23.0,21.0,1.0,,1.0,12.0,13.0,9.0,10.0,2.0,,,,,62.0,29.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.8}",0,0.35,0.18,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,91.30434782608695,,,,,,,4.0,1.0,,2.0,,1.0,1.0,1.0,1.0,3.0,,,,1.0,,,,,,,,1.0,,,,,
14015485,away,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,M,24,False,62.0,51.0,7.0,1.0,0.0,21.0,23.0,30.0,39.0,6.0,,,,,90.0,70.0,7.0,13.0,,"{'original': 7, 'alternative': 6.6}",0,0.3,0.09,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,82.25806451612904,14.285714285714285,,,,,1.0,3.0,5.0,2.0,1.0,,3.0,2.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,
14015485,away,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,26.0,24.0,1.0,1.0,0.0,8.0,10.0,16.0,16.0,4.0,,,,,83.0,44.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.6}",1,-0.05,0.37,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,92.3076923076923,100.0,100.0,50.0,,1.0,,8.0,4.0,2.0,,1.0,1.0,1.0,4.0,2.0,2.0,2.0,,1.0,,4.0,2.0,,1.0,,,-0.1,,1.0,,,,
