match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,outfielderBlock,unsuccessfulTouch,fouls,aerialWon,duelWon,wasFouled,totalTackle,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalContest,wonContest,onTargetScoringAttempt,goals,keyPass,shotValueNormalized,interceptionWon,wonTackle,totalOffside,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,shotOffTarget,hitWoodwork,errorLeadToAShot,totalKeeperSweeper,accurateKeeperSweeper
14015624,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,False,26.0,21.0,4.0,1.0,0.0,9.0,9.0,12.0,17.0,1.0,1.0,,,,77.0,37.0,6.3,9.0,112.9238135218,11.0,12.708464088989,1.0,,"{'original': 6.3, 'alternative': 6.7}",1,-0.16,0.09,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,4,1,80.76923076923077,25.0,,100.0,,2.0,,3.0,4.0,,,2.0,1.0,,4.0,2.0,1.0,24.772436122208,24.933368184022,1.0,1.0,,,1.0,-0.05,,1.0,,,,1.0,,,,,,
14015624,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,26.0,23.0,1.0,1.0,0.0,4.0,4.0,19.0,22.0,,2.0,,,,90.0,54.0,6.4,14.0,351.07545129805,33.0,165.5403236831,8.0,,"{'original': 6.4, 'alternative': 7.2}",3,-0.07,0.42,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,11,2,88.46153846153845,100.0,12.5,88.88888888888889,,8.0,1.0,1.0,3.0,,,3.0,1.0,,11.0,3.0,,19.981457067856,148.28706132438,9.0,8.0,,,2.0,-0.34,,,,,,2.0,,1.0,,1.0,,
14015624,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,6.0,4.0,,,0.0,,,4.0,6.0,,1.0,,,,84.0,11.0,6.3,5.0,37.152782933706,4.0,8.6953912272991,0.0,,"{'original': 6.3, 'alternative': 6.7}",2,-0.11,0.01,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,66.66666666666666,,,,,,,,3.0,,,2.0,2.0,,,,,,,,,1.0,1.0,,0.31,,,1.0,1.0,,,,1.0,,,,
14015624,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,True,5.0,4.0,,,0.0,1.0,2.0,3.0,3.0,2.0,,,,,13.0,9.0,6.3,1.0,,,,,,"{'original': 6.3, 'alternative': 6.4}",0,-0.02,,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1544669,Davorin Tošić,davorin-tosic,M,14,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,13.0,3.0,6.1,,,,,,,"{'original': 6.1, 'alternative': 6.6}",1,0.0,,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,100.0,,,,,,,2.0,4.0,1.0,,,1.0,,,,,,,,,,,,-0.51,,,,,,,1.0,1.0,1.0,,,
14015624,away,282203,FK Železničar Pančevo,2216578,Sumaila Wasiu,sumaila-wasiu,F,66,True,,,,,0.0,,,,,,,,,,12.0,1.0,6.6,1.0,,,,,,"{'original': 6.6, 'alternative': 6.5}",0,,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,True,5.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,,,,12.0,9.0,7.8,1.0,20.246856899704,4.0,2.6047989403004,0.0,,"{'original': 7.8, 'alternative': 7.4}",1,0.33,-0.03,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,100.0,100.0,100.0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,0.51,,,,1.0,1.0,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,2.0,,,,,12.0,8.0,6.4,1.0,,,,,,"{'original': 6.4, 'alternative': 6.4}",0,0.01,,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1500279,Dusan Jovanović,dusan-jovanovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,2276490,Abdoul Sawadogo,abdoul-sawadogo,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,away,253775,FK Železničar Pančevo,1803851,Mirko Stevanović,mirko-stevanovic,G,99,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
