match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,keyPass,blockedScoringAttempt,hitWoodwork
14147340,away,6224,FK Sutjeska Nikšić,1896811,Medo Juković,medo-jukovic,M,88,False,21.0,14.0,3.0,3.0,0.0,6.0,7.0,8.0,14.0,0.0,0.0,1.0,0.0,14.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,,,,,,,82.0,43.0,6.6,18.0,0.09,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,1,18,5,13,66.66666666666666,100.0,,0.0,,2.0,2.0,,,1.0
14147340,away,3395,FK Sutjeska Nikšić,890634,Novica Eraković,novica-erakovic,M,33,False,33.0,19.0,2.0,0.0,0.0,5.0,6.0,12.0,25.0,4.0,1.0,1.0,0.0,12.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,,,,,,,90.0,44.0,6.6,18.0,0.0,0.03,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,5,11,57.57575757575758,0.0,25.0,50.0,,1.0,,1.0,,
14147340,away,6224,FK Sutjeska Nikšić,1030465,Balša Tošković,balsa-toskovic,F,10,False,23.0,15.0,0.0,0.0,0.0,5.0,5.0,10.0,18.0,2.0,0.0,3.0,1.0,9.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,,,,,,,73.0,40.0,6.9,10.0,0.17,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,3,6,65.21739130434783,,0.0,66.66666666666666,,,2.0,,,
14147340,away,5160,FK Sutjeska Nikšić,795912,Aleksandar Desančić,aleksandar-desancic,M,3,True,8.0,7.0,1.0,1.0,0.0,4.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,26.0,14.0,6.9,4.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,87.5,100.0,,,,,,,,
14147340,away,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,M,7,True,6.0,3.0,1.0,0.0,0.0,,,3.0,5.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,17.0,14.0,6.7,5.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,50.0,0.0,,,,,,,,
14147340,away,5160,FK Sutjeska Nikšić,878422,Nikola Furtula,nikola-furtula,F,89,True,4.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,17.0,7.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,50.0,,0.0,,,,,,,
14147340,away,456482,FK Sutjeska Nikšić,1606678,Matija Nikčević,matija-nikcevic,M,11,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,,6.3,0.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,,,
14147340,away,6224,FK Sutjeska Nikšić,1032030,Stojan Vukčević,stojan-vukcevic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147340,away,6224,FK Sutjeska Nikšić,1005621,Ognjen Đinović,ognjen-dinovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147340,away,6224,FK Sutjeska Nikšić,1030470,Marko Đukanović,marko-dukanovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
