match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,dispossessed,totalContest,interceptionWon,totalTackle,errorLeadToAShot,unsuccessfulTouch,fouls,aerialWon,challengeLost,wonContest,keyPass,outfielderBlock,wonTackle,aerialLost,wasFouled,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,shotValueNormalized,totalOffside,bigChanceCreated,accurateCross,bigChanceMissed
14015437,away,5144,FK Javor Ivanjica,1398997,Ognjen Krsmanović,ognjen-krsmanovic,F,22,False,18.0,14.0,5.0,4.0,0.0,7.0,7.0,7.0,11.0,,2.0,,,,,,,78.0,30.0,6.2,9.0,,"{'original': 6.2, 'alternative': 6.9}",2,0.09,-0.21,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,1,3,77.77777777777779,80.0,,,,,7.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,4.0,1.0,,1.0,1.0,,-0.55,,,,
14015437,away,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,1.0,,,,1.0,,,,1.0,,,,,,,,,12.0,3.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.17,,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,,,,,,,2.0,1.0,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,,
14015437,away,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,F,32,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,,1.0,,,,,,,12.0,4.0,6.4,1.0,,"{'original': 6.4, 'alternative': 6.5}",0,-0.02,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,75.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
14015437,away,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,F,9,True,1.0,1.0,,,0.0,1.0,1.0,,0.0,,,,,,,,,12.0,4.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.6}",1,-0.02,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,0.02,1.0,,,
14015437,away,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,2.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,12.0,3.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.02,0.0,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,away,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,True,,,,,0.0,,,,,,,,,,,,,9.0,,6.4,,,"{'original': 6.4, 'alternative': 6.4}",0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,away,203041,FK Javor Ivanjica,804833,Nemanja Krstić,nemanja-krstic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,away,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,away,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,away,5160,FK Javor Ivanjica,145194,Leandro,leandro,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,away,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,away,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
