match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,bigChanceCreated,totalClearance,interceptionWon,totalTackle,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,lastManTackle,unsuccessfulTouch,aerialLost,challengeLost,totalContest,outfielderBlock,blockedScoringAttempt,wasFouled,shotValueNormalized,wonContest,shotOffTarget,bigChanceMissed,totalKeeperSweeper,accurateKeeperSweeper,onTargetScoringAttempt,goals
14015619,away,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,True,11.0,10.0,3.0,3.0,0.0,4.0,4.0,6.0,7.0,2.0,,,,23.0,20.0,6.8,4.0,104.30154563361,10.0,48.850191932743,2.0,,"{'original': 6.8, 'alternative': 7}",2,0.06,0.43,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,90.9090909090909,100.0,,,,,,,5.0,2.0,1.0,,,,1.0,1.0,1.0,17.336175510428,31.832894380863,1.0,,1.0,1.0,1.0,1.0,,,1.0,-0.52,,,1.0,,,2.0,
14015619,away,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,12.0,10.0,,,0.0,6.0,6.0,4.0,6.0,1.0,,,,23.0,20.0,6.8,5.0,81.445255423407,6.0,57.001368844874,3.0,,"{'original': 6.8, 'alternative': 6.9}",2,-0.07,0.39,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,83.33333333333334,,,100.0,,,,,1.0,2.0,1.0,1.0,,,1.0,,,17.544973029149,41.142868342381,1.0,,2.0,,,1.0,,,,-0.46,1.0,1.0,,,,1.0,
14015619,away,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,2.0,,,,0.0,,,,2.0,,,,,13.0,8.0,7.4,5.0,9.5722286328733,1.0,2.1113964634498,0.0,,"{'original': 7.4, 'alternative': 7.1}",1,0.01,-0.54,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,,,,,,,,2.0,5.0,3.0,,,,,1.0,1.0,,,,,,,2.0,,3.0,,,,0.51,,,,,,1.0,1.0
14015619,away,5150,FK Vojvodina,1892868,Kufre Eta,kufre-eta,M,2,True,6.0,3.0,,,0.0,2.0,3.0,1.0,3.0,1.0,,,,12.0,10.0,6.5,5.0,45.700723954169,3.0,23.340521482875,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.04,0.03,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,
14015619,away,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,10.0,2.0,6.6,1.0,5.8232434261329,1.0,1.3044594904535,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.04,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,away,5150,FK Vojvodina,1520997,Vando Félix,vando-felix,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,away,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,away,5150,FK Vojvodina,1000424,Vlada Novevski,vlada-novevski,F,13,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,away,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,away,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015619,away,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
