match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,onTargetScoringAttempt,interceptionWon,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,challengeLost,outfielderBlock,totalTackle,accurateCross,wonTackle,dispossessed,wonContest,shotOffTarget,blockedScoringAttempt,bigChanceMissed,bigChanceCreated,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015626,home,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,F,8,False,5.0,4.0,,,0.0,,,4.0,5.0,,1.0,5.0,,,,85.0,21.0,6.0,11.0,19.514586207335,3.0,0.44251680820648,0.0,,"{'original': 6, 'alternative': 6.4}",0,0.34,-0.56,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,1,8,80.0,,100.0,25.0,,2.0,1.0,,9.0,1.0,4.0,,,,2.0,,,3.0,,1.0,,,2.0,,2.0,1.0,,,,1.0,4.0,,
14015626,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,F,21,True,3.0,1.0,,,0.0,,2.0,1.0,1.0,1.0,2.0,1.0,,,,24.0,11.0,6.6,5.0,65.933164422166,6.0,45.586173702689,2.0,,"{'original': 6.6, 'alternative': 6.7}",1,-0.17,0.21,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,33.33333333333333,,,,,1.0,,,,1.0,,,1.0,1.0,,22.156410425372,41.101735540032,,0.0,,,,,,,,1.0,,,,,,
14015626,home,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,True,5.0,3.0,,,0.0,1.0,1.0,2.0,4.0,,1.0,2.0,,,,24.0,10.0,6.3,5.0,4.2855800074202,1.0,-1.3541379663825,0.0,,"{'original': 6.3, 'alternative': 6.6}",1,-0.02,0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,60.0,,,,,,,,2.0,1.0,,,,1.0,1.0,,,,-0.14,,,,,,1.0,,1.0,,,,1.0,,
14015626,home,263360,FK TSC Bačka Topola,2035083,Stefan Tomović,stefan-tomovic,M,42,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,1.0,,,,,12.0,6.0,6.6,3.0,7.9165164828184,2.0,-6.8962406040047,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.04,0.07,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,66.66666666666666,,,,,,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,3.0,2.0,1.0,,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,12.0,10.0,6.7,4.0,6.3618325858441,2.0,-0.57393159613913,0.0,,"{'original': 6.7, 'alternative': 7.3}",1,0.19,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,50.0,,,4.0,,,,,,,,,,,,3.0,-0.06,,,,2.0,,,,1.0,,,,,,
14015626,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,F,29,True,1.0,,,,0.0,,,,1.0,,,,,,,9.0,2.0,6.4,1.0,,,,,,"{'original': 6.4, 'alternative': 6.6}",1,-0.01,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,-0.17,,,,,,,,1.0,,,,,,
14015626,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,799711,Miloš Šatara,milos-satara,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,1005774,Bojan Dimoski,bojan-dimoski,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
