match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,outfielderBlock,totalTackle,wonTackle,fouls,keyPass,aerialLost,aerialWon,dispossessed,wonContest,shotOffTarget,clearanceOffLine,interceptionWon,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,shotValueNormalized,blockedScoringAttempt,unsuccessfulTouch,wasFouled,onTargetScoringAttempt,goals,bigChanceCreated,bigChanceMissed,hitWoodwork,totalOffside
14015533,away,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,False,30.0,22.0,5.0,2.0,0.0,11.0,15.0,11.0,15.0,6.0,2.0,,,,,,90.0,55.0,6.3,16.0,130.71458177468,14.0,-8.19,25.305,,"{'original': 6.3, 'alternative': 6.8}",0,0.08,0.05,-0.55,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,73.33333333333333,40.0,,,,3.0,,2.0,4.0,,,,2.0,2.0,1.0,2.0,,2.0,1.0,,,,3.0,25.841027862684,1.0,,,2.0,,,,,,,
14015533,away,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,28.0,21.0,3.0,,0.0,9.0,10.0,12.0,18.0,4.0,5.0,,,,,,90.0,49.0,6.7,12.0,64.504701736555,11.0,1.575,4.41,,"{'original': 6.7, 'alternative': 6.7}",1,-0.09,-0.67,0.57,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,4,7,75.0,,,,,,,7.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,,,,2.0,,,,1.0,,,-0.07,,2.0,,1.0,,,,,
14015533,away,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,33.0,29.0,3.0,2.0,0.0,15.0,17.0,14.0,16.0,1.0,7.0,,,,,,89.0,46.0,6.4,10.0,145.59147420654,15.0,72.765,34.02,,"{'original': 6.4, 'alternative': 6.6}",1,-0.01,0.02,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,87.87878787878788,66.66666666666666,,,,3.0,,4.0,2.0,2.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,,57.840499860265,2.0,-0.13,,2.0,1.0,1.0,,,,,
14015533,away,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,22.0,18.0,,,0.0,5.0,7.0,13.0,15.0,1.0,8.0,,,,,,84.0,36.0,6.5,8.0,171.15169946779,17.0,88.515,46.2,,"{'original': 6.5, 'alternative': 6.3}",3,-0.21,0.57,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,2,5,81.81818181818183,,,,,1.0,,5.0,2.0,3.0,,,,,1.0,,,,1.0,,2.0,,,88.431812425902,4.0,-0.27,,2.0,2.0,1.0,,,2.0,,1.0
14015533,away,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,False,37.0,29.0,6.0,2.0,0.0,21.0,23.0,8.0,14.0,1.0,3.0,,,,,,90.0,55.0,7.0,11.0,209.01520488447,23.0,29.505,15.54,,"{'original': 7, 'alternative': 7}",1,0.38,0.06,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,5,1,78.37837837837837,33.33333333333333,50.0,100.0,,2.0,1.0,2.0,7.0,1.0,1.0,,2.0,1.0,,2.0,1.0,2.0,,1.0,,,2.0,,,0.03,,2.0,2.0,1.0,,1.0,1.0,,
14015533,away,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,False,6.0,2.0,1.0,,0.0,2.0,3.0,0.0,3.0,,2.0,,,,,,45.0,13.0,6.8,5.0,46.299153406895,4.0,36.54,22.365,,"{'original': 6.8, 'alternative': 6.8}",2,0.01,0.13,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,33.33333333333333,,100.0,100.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,23.692733590702,1.0,-0.04,,1.0,,2.0,,,,,
14015533,away,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,9.0,7.0,1.0,1.0,0.0,,1.0,7.0,8.0,1.0,2.0,,,,,,73.0,15.0,6.5,3.0,65.135035623696,7.0,17.43,23.73,,"{'original': 6.5, 'alternative': 7.2}",2,0.23,0.31,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,77.77777777777779,100.0,,100.0,,,,1.0,3.0,,1.0,,1.0,,,2.0,1.0,1.0,,1.0,1.0,,,23.870273479791,1.0,-0.59,,1.0,,1.0,,1.0,1.0,,1.0
14015533,away,5144,FK Javor Ivanjica,1398997,Ognjen Krsmanović,ognjen-krsmanovic,M,22,True,20.0,16.0,,,0.0,7.0,9.0,9.0,11.0,1.0,3.0,,,,,,45.0,28.0,6.2,5.0,54.894347853081,8.0,22.155,7.98,,"{'original': 6.2, 'alternative': 6.5}",1,-0.21,0.16,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,80.0,,,100.0,,,,3.0,4.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,,,,,,-0.16,1.0,1.0,,,,,,,
14015533,away,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,F,9,True,4.0,2.0,,,0.0,1.0,2.0,1.0,2.0,,1.0,,,,,,17.0,7.0,6.7,4.0,20.424103408582,2.0,-18.795,-9.24,,"{'original': 6.7, 'alternative': 6.5}",0,-0.11,-0.11,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,50.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,
14015533,away,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,F,28,True,3.0,3.0,,,0.0,,,3.0,3.0,1.0,,,,,,,8.0,4.0,6.6,,18.114746206392,2.0,15.435,9.03,,"{'original': 6.6, 'alternative': 6.6}",0,-0.04,0.08,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,11.639382973337,1.0,,,,,,,,,,
14015533,away,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,,,,,,,1.0,2.0,,1.0,4.9657631840433,1.0,2.73,2.73,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
