match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,blockedScoringAttempt,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,aerialWon,keyPass,shotOffTarget,hitWoodwork,interceptionWon,dispossessed,bigChanceCreated,onTargetScoringAttempt,totalOffside,bigChanceMissed,punches
14015531,home,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,F,77,True,14.0,8.0,,,0.0,3.0,4.0,10.0,,3.0,,,,,,45.0,38.0,6.9,18.0,180.78161727324,19.0,112.035,32.025,,"{'original': 6.9, 'alternative': 6.8}",0,-0.05,0.15,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,10,6,57.14285714285714,,,53.84615384615385,,5.0,2.0,,,6.0,11.0,,13.0,7.0,,,1.0,1.0,4.0,2.0,,,1.0,,,,,,,,1.0,,
14015531,home,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,True,9.0,7.0,,,0.0,1.0,1.0,8.0,,,,,,,,25.0,12.0,6.6,2.0,51.188427758818,7.0,2.415,10.92,,"{'original': 6.6, 'alternative': 6.6}",2,-0.07,0.35,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,77.77777777777779,,,100.0,,6.0,,,,2.0,2.0,,1.0,1.0,,,,,,,2.0,0.17,1.0,,1.0,,,,,1.0,,1.0,
14015531,home,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,True,5.0,2.0,2.0,,0.0,2.0,3.0,2.0,,,,,,,,12.0,10.0,6.6,6.0,15.51200552084,2.0,7.35,3.885,,"{'original': 6.6, 'alternative': 6.5}",0,-0.03,0.03,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,40.0,,,,,,,,,,1.0,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,
14015531,home,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,True,8.0,7.0,,,0.0,3.0,4.0,4.0,1.0,2.0,,,,,,12.0,13.0,6.6,3.0,27.671584819386,6.0,2.835,5.46,,"{'original': 6.6, 'alternative': 6.4}",0,0.02,0.08,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,87.5,,,,,4.0,,,,2.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,
14015531,home,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015531,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015531,home,7674,FK Radnički 1923,1616139,Nikola Skrobonja,nikola-skrobonja,M,51,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015531,home,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015531,home,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015531,home,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015531,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015531,away,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,19.0,8.0,12.0,1.0,0.0,7.0,15.0,4.0,1.0,3.0,,2.0,2.0,,,90.0,23.0,6.8,11.0,48.629524854523,5.0,0.315,9.03,0.6571,"{'original': 6.8, 'alternative': 6.8}",0,0.01,0.0,-0.01,0.51,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,42.10526315789473,8.333333333333332,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
14015531,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,False,25.0,14.0,2.0,,0.0,6.0,11.0,14.0,2.0,4.0,,,,,,90.0,65.0,6.8,17.0,56.300531736812,8.0,-8.82,8.4,,"{'original': 6.8, 'alternative': 6.9}",0,0.2,0.03,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,6,11,56.00000000000001,,100.0,50.0,,8.0,2.0,2.0,1.0,12.0,6.0,6.0,2.0,1.0,,1.0,4.0,3.0,1.0,1.0,4.0,,,,,,,,,,,,
