match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,shotValueNormalized,duelLost,totalContest,outfielderBlock,aerialLost,challengeLost,dispossessed,bigChanceMissed,blockedScoringAttempt,fouls,wonContest,shotOffTarget,totalOffside,keyPass,aerialWon,bigChanceCreated,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,goals
14015471,home,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,home,6079,OFK Beograd,1465579,Mihajlo Petrović,mihajlo-petrovic,M,13,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,home,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,home,5153,OFK Beograd,1939189,Mamadou Fall,moustapha-fall,D,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,away,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,25.0,22.0,6.0,3.0,0.0,20.0,21.0,2.0,4.0,,10.0,,1.0,4.0,90.0,42.0,7.3,3.0,0.2891,"{'original': 7.3, 'alternative': 7.8}",0,0.06,0.0,0.37,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.0,50.0,,,100.0,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,
14015471,away,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,58.0,54.0,4.0,1.0,0.0,31.0,33.0,23.0,25.0,6.0,6.0,3.0,,,90.0,84.0,7.0,11.0,,"{'original': 7, 'alternative': 7.4}",0,0.0,0.15,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,6,5,93.10344827586206,25.0,,,,3.0,,4.0,,3.0,1.0,,,5.0,2.0,1.0,,1.0,1.0,,,1.0,,,,2.0,,,,,,,,
14015471,away,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,74.0,68.0,6.0,3.0,0.0,54.0,57.0,14.0,17.0,2.0,2.0,,,,90.0,92.0,7.1,9.0,,"{'original': 7.1, 'alternative': 7.2}",0,0.3,0.21,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,1,6,91.8918918918919,50.0,,,,2.0,,5.0,2.0,1.0,1.0,,,7.0,,2.0,1.0,1.0,1.0,,,4.0,,,,,1.0,,,,,,,
14015471,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,83.0,73.0,3.0,1.0,0.0,39.0,43.0,34.0,40.0,5.0,4.0,1.0,,,90.0,95.0,7.7,10.0,,"{'original': 7.7, 'alternative': 7.6}",1,0.53,0.1,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,3,0,87.95180722891565,33.33333333333333,,,,,,2.0,3.0,2.0,1.0,,-0.05,2.0,,,2.0,,,,,,,1.0,,,2.0,,,,,,,
14015471,away,5152,FK Partizan,555538,Mario Jurčevič,mario-jurcevic,D,4,False,36.0,33.0,1.0,1.0,0.0,10.0,11.0,23.0,25.0,,2.0,,,,90.0,52.0,6.9,6.0,,"{'original': 6.9, 'alternative': 7.4}",2,0.04,-0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,91.66666666666666,100.0,50.0,,,2.0,2.0,1.0,,,,2.0,0.04,1.0,,,1.0,,,1.0,,1.0,,,,2.0,,,,,,,1.0,
14015471,away,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,54.0,49.0,1.0,1.0,1.0,19.0,21.0,30.0,33.0,2.0,4.0,1.0,,,62.0,59.0,7.0,5.0,,"{'original': 7, 'alternative': 7.1}",0,0.47,0.05,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,90.74074074074075,100.0,,,,,,1.0,2.0,,,,,4.0,,,3.0,,,,,1.0,,,,1.0,1.0,,,,,,,
