match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,onTargetScoringAttempt,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,outfielderBlock,totalTackle,interceptionWon,wonTackle,accurateCross,wonContest,bigChanceCreated,keyPass,challengeLost,totalOffside,shotOffTarget,goals,bigChanceMissed,blockedScoringAttempt,goodHighClaim,savedShotsFromInsideTheBox
14666216,away,43981,FK Radnički 1923,971009,António Pina Gomes,pina-gomes-antonio,M,11,False,15.0,12.0,1.0,,0.0,8.0,10.0,4.0,5.0,,2.0,,,45.0,23.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.6}",1,-0.04,0.11,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,80.0,,,100.0,,,1.0,1.0,2.0,3.0,1.0,1.0,,2.0,1.0,,-0.08,,,,,,1.0,,,,,,,,1.0,,
14666216,away,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,25.0,17.0,,,0.0,9.0,12.0,8.0,13.0,2.0,6.0,,,90.0,48.0,6.6,19.0,,"{'original': 6.6, 'alternative': 6.8}",3,-0.14,0.33,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,68.0,,,,,1.0,1.0,2.0,4.0,7.0,,,1.0,8.0,3.0,3.0,-0.33,,2.0,,,,,,,,,,,,2.0,,
14666216,away,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,25.0,19.0,,,0.0,6.0,9.0,13.0,16.0,1.0,,,,89.0,37.0,6.6,12.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.17,0.24,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,2,1,76.0,,,,,,3.0,3.0,4.0,5.0,,1.0,,4.0,3.0,,,,,,,,,,1.0,,,,,,,,
14666216,away,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,True,16.0,8.0,2.0,1.0,0.0,6.0,9.0,2.0,7.0,1.0,3.0,,,45.0,30.0,6.2,13.0,,"{'original': 6.2, 'alternative': 6.4}",0,-0.09,-0.08,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,50.0,50.0,,,,,1.0,1.0,7.0,5.0,2.0,,,3.0,1.0,1.0,,,3.0,2.0,3.0,,,,,3.0,,,,,,,
14666216,away,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,10.0,4.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.4}",0,0.0,-0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
14666216,away,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,5.0,4.0,,,0.0,2.0,2.0,2.0,3.0,1.0,3.0,,,10.0,10.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.0,0.01,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,80.0,,,,,,,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,
14666216,away,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,True,,,,,0.0,,,,,,,,,1.0,1.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
14666216,away,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,away,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,away,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,away,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,away,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,M,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,away,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,away,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
