match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,dispossessed,keyPass,shotOffTarget,interceptionWon,penaltyConceded,bigChanceCreated,blockedScoringAttempt,penaltyWon
15566223,away,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,25.0,21.0,17.0,13.0,0.0,12.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,90.0,33.0,7.4,6.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,84.0,76.47058823529412,,,0.0,9.0,,,,,,,,
15566223,away,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,D,77,False,38.0,20.0,14.0,5.0,0.0,8.0,12.0,23.0,2.0,1.0,1.0,1.0,12.0,7.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,55.0,7.1,16.0,0.11,0.0,"{'original': 7.1, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,6,11,52.63157894736842,35.714285714285715,50.0,100.0,,10.0,,1.0,2.0,2.0,,,,
15566223,away,37956,FK Arsenal Tivat,1804545,Gojko Petović,gojko-petrovic,D,5,False,14.0,3.0,2.0,0.0,0.0,1.0,5.0,7.0,1.0,0.0,4.0,0.0,14.0,5.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,21.0,5.9,12.0,0.0,0.0,"{'original': 5.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,5,10,21.428571428571427,0.0,0.0,33.33333333333333,,2.0,,,,,,,,
15566223,away,37956,FK Arsenal Tivat,889352,Zoran Mikijelj,zoran-mikijelj,D,19,False,27.0,24.0,7.0,7.0,0.0,16.0,17.0,9.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,90.0,31.0,7.1,7.0,0.06,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,88.88888888888889,100.0,,,,8.0,,,,1.0,,,1.0,
15566223,away,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,D,2,False,36.0,29.0,8.0,6.0,0.0,18.0,19.0,14.0,2.0,0.0,1.0,0.0,8.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,48.0,6.8,12.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,5,7,80.55555555555556,75.0,0.0,100.0,,9.0,1.0,1.0,,2.0,,,,
15566223,away,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,M,10,False,18.0,12.0,4.0,1.0,0.0,4.0,7.0,11.0,1.0,1.0,1.0,2.0,13.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,,,,,,,86.0,29.0,7.3,11.0,0.76,0.15,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,4,12,66.66666666666666,25.0,100.0,100.0,,8.0,1.0,1.0,,1.0,,,,
15566223,away,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,32.0,23.0,3.0,1.0,0.0,15.0,19.0,11.0,0.0,0.0,3.0,1.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,42.0,6.8,11.0,0.05,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,1,7,71.875,33.33333333333333,,100.0,,7.0,1.0,,2.0,2.0,,,,
15566223,away,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,31.0,25.0,2.0,2.0,1.0,10.0,12.0,19.0,1.0,0.0,3.0,2.0,11.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,,,,,,,90.0,40.0,7.0,10.0,0.0,0.45,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,3,8,80.64516129032258,100.0,0.0,50.0,,15.0,,2.0,,,,1.0,,
15566223,away,37956,FK Arsenal Tivat,925940,Armin Imamović,armin-imamovic,M,14,False,32.0,20.0,4.0,0.0,0.0,8.0,10.0,21.0,4.0,2.0,0.0,0.0,8.0,8.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,50.0,6.9,16.0,0.16,0.08,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,8,8,62.5,0.0,50.0,50.0,,12.0,,1.0,,,,,,
15566223,away,37956,FK Arsenal Tivat,1130148,Neđeljko Kovinić,nedeljko-kovinic,F,90,False,8.0,7.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,0.0,11.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,78.0,19.0,6.9,8.0,0.44,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,2,9,87.5,,,0.0,,5.0,3.0,,,,,,,
15566223,away,37956,FK Arsenal Tivat,957906,Igor Vukcevic,igor-vukcevic,F,9,False,19.0,13.0,1.0,1.0,0.0,2.0,2.0,17.0,0.0,0.0,10.0,3.0,22.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,,,,,,,90.0,40.0,6.6,11.0,0.17,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",29,13,16,4,12,68.42105263157895,100.0,,0.0,,11.0,2.0,1.0,1.0,1.0,,,1.0,
15566223,away,37956,FK Arsenal Tivat,842506,Aleksandar Macanović,aleksandar-macanovic,F,20,True,5.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,12.0,8.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,60.0,100.0,0.0,100.0,,2.0,1.0,,,,,,,
15566223,away,37956,FK Arsenal Tivat,1396429,Nemanja Bojanić,nemanja-bojanic,M,18,True,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,4.0,4.0,5.9,3.0,0.0,0.0,"{'original': 5.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,100.0,,,0.0,,,1.0,,,,,,,
15566223,away,37956,FK Arsenal Tivat,58157,Jovan Nikolić,jovan-nikolic,M,4,True,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,0.0
15566223,away,37956,FK Arsenal Tivat,2555065,Petar Soskic,petar-soskic,M,22,True,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,0.0
15566223,away,53449,FK Arsenal Tivat,1423516,Ivan Božinović,ivan-bozinovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
15566223,away,37956,FK Arsenal Tivat,205970,Julian Montenegro,julian-montenegro,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
15566223,away,37956,FK Arsenal Tivat,1030485,Petar Mališić,petar-malisic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
15566223,away,37956,FK Arsenal Tivat,1486747,Vladimir Kašćelan,vladimir-kascelan,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
15566223,away,37956,FK Arsenal Tivat,1030480,Nikola Gluščević,nikola-gluscevic,F,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
