match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,challengeLost,onTargetScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,aerialLost,aerialWon,bigChanceCreated,shotOffTarget,goals,totalTackle,wonTackle,keyPass,lastManTackle,bigChanceMissed,hitWoodwork,accurateCross,blockedScoringAttempt,totalContest,dispossessed,penaltyWon,errorLeadToAShot,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,penaltyConceded,wonContest
14015578,away,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,False,21.0,15.0,1.0,1.0,0.0,6.0,8.0,9.0,13.0,,4.0,,,90.0,34.0,6.2,10.0,26.229869249686,4.0,3.4859968123403,0.0,,"{'original': 6.2, 'alternative': 6.2}",1,-0.12,-0.01,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,71.42857142857143,100.0,,,,1.0,6.0,4.0,,,3.0,,2.0,1.0,,,-0.14,2.0,,,1.0,,2.0,1.0,,,1.0,1.0,,,1.0,2.0,,,,,,,,,
14015578,away,25736,FK Novi Pazar,798091,Driton Camaj,driton-camaj,M,10,False,19.0,14.0,2.0,2.0,0.0,6.0,8.0,8.0,11.0,2.0,8.0,,,90.0,35.0,6.3,10.0,107.85226430377,12.0,25.71101359022,0.0,,"{'original': 6.3, 'alternative': 6.9}",2,0.14,0.07,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,73.68421052631578,100.0,,100.0,,2.0,1.0,3.0,,1.0,3.0,3.0,1.0,2.0,,,-0.08,,,1.0,1.0,,,,1.0,,,,,,2.0,,,1.0,,,,,,,2.0
14015578,away,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,13.0,8.0,,,0.0,6.0,7.0,2.0,6.0,2.0,1.0,,,74.0,21.0,6.0,8.0,38.641873471532,4.0,-7.6555809951616,1.0,,"{'original': 6, 'alternative': 6.3}",0,-0.09,0.07,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,61.53846153846154,,,,,,8.0,1.0,,,,2.0,1.0,3.0,13.639006404325,17.15195688544,,4.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
14015578,away,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,1.0,,,,0.0,,,,1.0,,,,,16.0,2.0,6.3,1.0,,,,,,"{'original': 6.3, 'alternative': 6.4}",0,-0.01,,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,7.0,3.0,1.0,,0.0,1.0,3.0,2.0,4.0,,2.0,,,16.0,8.0,6.2,4.0,38.085094956109,5.0,-1.3399258959333,0.0,,"{'original': 6.2, 'alternative': 6.4}",0,-0.1,-0.53,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,42.857142857142854,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,1133676,Vieiri Kotzebue,vieri-kotzebue,F,9,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,,16.0,4.0,6.7,1.0,,,,,,"{'original': 6.7, 'alternative': 6.7}",1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,100.0,,,,,,3.0,1.0,,1.0,,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,0.0,,,,0.0,,,,,1.0,2.0,,1.0,15.447128179697,1.0,10.045055952037,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,2287918,Hamad Sacirovic,hamad-sacirovic,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,away,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,away,418770,FK Novi Pazar,1981820,Ersan Mavric,ersan-mavric,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
