match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,challengeLost,interceptionWon,totalTackle,wonTackle,fouls,totalContest,wonContest,unsuccessfulTouch,wasFouled,outfielderBlock,shotOffTarget,keyPass,shotValueNormalized,dispossessed,onTargetScoringAttempt,accurateCross,bigChanceMissed,blockedScoringAttempt,totalOffside,hitWoodwork,goodHighClaim,bigChanceCreated
14015556,away,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,M,10,False,32.0,25.0,2.0,1.0,0.0,8.0,9.0,17.0,23.0,,3.0,,7.0,,,,,,90.0,56.0,6.7,17.0,232.36490392925,19.0,-116.235,18.165,,"{'original': 6.7, 'alternative': 7.2}",5,0.27,0.67,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,3,5,78.125,50.0,,50.0,,4.0,5.0,10.0,,,,,2.0,4.0,2.0,3.0,1.0,,4.0,,-0.61,1.0,1.0,,1.0,,1.0,1.0,,
14015556,away,5149,FK Crvena zvezda,278763,Mirko Ivanić,mirko-ivanic,M,4,False,36.0,25.0,5.0,2.0,0.0,8.0,8.0,17.0,28.0,1.0,8.0,,5.0,,,,,,90.0,70.0,5.9,27.0,196.74049264038,22.0,-47.25,22.365,,"{'original': 5.9, 'alternative': 7.1}",6,-0.45,0.32,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,2,18,7,11,69.44444444444444,40.0,,50.0,,1.0,1.0,12.0,1.0,,1.0,,1.0,8.0,4.0,4.0,2.0,,1.0,,0.16,5.0,4.0,,1.0,1.0,,,,
14015556,away,5149,FK Crvena zvezda,878830,Bruno Duarte,bruno-duarte,F,17,False,27.0,17.0,2.0,,0.0,4.0,6.0,13.0,21.0,5.0,11.0,,3.0,,,,,,73.0,38.0,6.7,14.0,135.85044115407,18.0,-45.675,10.815,,"{'original': 6.7, 'alternative': 7.3}",1,-0.55,0.18,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,6,2,62.96296296296296,,,60.0,,1.0,,2.0,,,,,,5.0,3.0,1.0,3.0,,1.0,4.0,-0.26,,,,,,1.0,,,1.0
14015556,away,5149,FK Crvena zvezda,21927,Marko Arnautović,marko-arnautovic,F,89,True,11.0,7.0,,,0.0,2.0,2.0,5.0,9.0,,,,1.0,,,,,,29.0,12.0,6.5,4.0,,,,,,"{'original': 6.5, 'alternative': 6.7}",1,-0.4,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,63.63636363636363,,,,,,,,,,,,,,,,,,,,0.01,,,,,1.0,,,,
14015556,away,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,True,16.0,11.0,1.0,,0.0,5.0,7.0,6.0,9.0,2.0,5.0,,1.0,,,,,,28.0,31.0,7.2,10.0,75.385168557701,7.0,10.71,11.55,,"{'original': 7.2, 'alternative': 7.4}",1,0.05,-0.13,0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,3,0,68.75,,,,,2.0,,,,1.0,2.0,1.0,,,,2.0,1.0,1.0,,,0.02,,1.0,,,,,,,
14015556,away,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,True,12.0,8.0,1.0,,0.0,1.0,1.0,7.0,11.0,,1.0,1.0,,,,,,,17.0,20.0,6.5,7.0,94.968243184178,10.0,-43.89,4.41,,"{'original': 6.5, 'alternative': 6.6}",0,0.0,0.17,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,66.66666666666666,,33.33333333333333,,,3.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,
14015556,away,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,M,24,True,6.0,6.0,,,0.0,1.0,1.0,5.0,5.0,,2.0,,1.0,,,,,,14.0,11.0,6.8,2.0,37.583403521345,3.0,-31.92,-1.26,,"{'original': 6.8, 'alternative': 6.8}",0,0.03,0.03,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,100.0,,,,,,1.0,2.0,,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,
14015556,away,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,away,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,away,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,away,5149,FK Crvena zvezda,1133882,Franklin Tebo,franklin-tebo,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,away,5149,FK Crvena zvezda,2207346,Aleksa Damjanović,damjanovic-aleksa,F,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,away,5149,FK Crvena zvezda,1939194,Stefan Gudelj,stefan-gudelj,D,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,away,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
