match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,bigChanceCreated,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,keyPass,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,interceptionWon,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,challengeLost,outfielderBlock,totalTackle,wonTackle,totalCross,totalContest,wonContest,onTargetScoringAttempt,goals,accurateCross,bigChanceMissed,totalOffside,blockedScoringAttempt,hitWoodwork,dispossessed
14015489,away,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,True,22.0,17.0,3.0,2.0,0.0,6.0,7.0,11.0,15.0,,3.0,,,45.0,38.0,6.0,9.0,,1.0,"{'original': 6, 'alternative': 6.5}",0,0.16,-0.17,-0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,77.27272727272727,66.66666666666666,25.0,100.0,,1.0,,3.0,2.0,,1.0,1.0,,1.0,1.0,,1.0,,,,4.0,1.0,1.0,,,1.0,,,,,
14015489,away,39946,FK Napredak Kruševac,842735,Marko Šarić,marko-saric,F,88,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,27.0,3.0,6.5,,,,"{'original': 6.5, 'alternative': 6.5}",0,0.07,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015489,away,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,20.0,16.0,1.0,,0.0,8.0,9.0,8.0,11.0,,2.0,,,27.0,25.0,6.3,7.0,,1.0,"{'original': 6.3, 'alternative': 6.4}",2,0.05,0.03,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,80.0,,,,,,,1.0,,2.0,,,1.0,,,-0.18,,,,,,,,,,,,,,,1.0
14015489,away,369195,FK Napredak Kruševac,1130255,Đorđe Kotlajić,dorde-kotlajic,F,55,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,18.0,5.0,6.4,2.0,,,"{'original': 6.4, 'alternative': 6.6}",1,0.01,0.14,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,1.0,,1.0,,1.0,,,2.0,,,-0.2,,,,,,,,,,,,,,,
14015489,away,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,D,44,True,5.0,3.0,1.0,,0.0,2.0,2.0,1.0,3.0,,2.0,,,12.0,7.0,6.7,3.0,,1.0,"{'original': 6.7, 'alternative': 6.6}",0,0.0,0.14,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,60.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
14015489,away,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,away,37064,FK Napredak Kruševac,799015,Lazar Zličić,lazar-zlicic,M,23,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,away,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,away,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,away,263772,FK Napredak Kruševac,1937368,Andrej Smiljković,andrej-smiljkovic,M,89,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
