match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,totalTackle,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,totalContest,wonContest,interceptionWon,unsuccessfulTouch,keyPass,aerialWon,outfielderBlock,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,totalCross,dispossessed,blockedScoringAttempt,totalOffside,shotValueNormalized,accurateCross,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,goals,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal
14015567,away,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,27.0,19.0,2.0,1.0,0.0,8.0,10.0,11.0,17.0,3.0,,4.0,2.0,,,,80.0,37.0,6.1,11.0,71.023038628739,5.0,53.226408620807,,"{'original': 6.1, 'alternative': 6.3}",2,0.0,0.05,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,70.37037037037037,50.0,,,,1.0,7.0,1.0,,,1.0,2.0,,1.0,,,4.0,25.291301549413,28.114289320557,1.0,,1.0,1.0,,0.07,,,,1.0,,,,
14015567,away,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,False,13.0,7.0,,,1.0,3.0,4.0,4.0,9.0,8.0,2.0,1.0,1.0,,,,61.0,23.0,7.1,10.0,62.776985168871,4.0,44.189799051489,,"{'original': 7.1, 'alternative': 7.3}",0,0.32,0.18,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,7,7,3,4,53.84615384615385,,,66.66666666666666,,2.0,6.0,,3.0,2.0,,2.0,2.0,5.0,,1.0,2.0,27.233645316203,50.126611352462,2.0,,1.0,,,,,1.0,,,,,,
14015567,away,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,F,11,False,14.0,11.0,1.0,,0.0,4.0,6.0,7.0,8.0,2.0,,1.0,,1.0,,,45.0,19.0,6.7,3.0,33.177594012576,5.0,9.7221891013603,,"{'original': 6.7, 'alternative': 6.7}",0,0.08,0.15,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,78.57142857142857,,,100.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,8.5009582013451,9.9899393892055,1.0,,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,True,14.0,10.0,1.0,,0.0,2.0,3.0,8.0,11.0,3.0,,2.0,,,,,81.0,35.0,6.8,11.0,118.184431881,8.0,69.898129818599,,"{'original': 6.8, 'alternative': 6.6}",4,-0.08,0.12,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,3,13,71.42857142857143,,,60.0,,,13.0,5.0,5.0,3.0,,2.0,2.0,,,,3.0,46.239672567719,77.498896695952,2.0,,3.0,3.0,,0.52,,,,1.0,1.0,,,
14015567,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,5.0,5.0,,,0.0,4.0,4.0,1.0,1.0,4.0,1.0,,1.0,2.0,,,45.0,12.0,6.4,1.0,26.360377847748,4.0,20.66297704039,,"{'original': 6.4, 'alternative': 6.8}",1,0.0,0.06,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,100.0,,,,,3.0,8.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,4.0,,,,,,,,-0.26,,,1.0,,,,,
14015567,away,308176,FK IMT Beograd,152339,Jeremy Manzorro,jeremy-manzorro,M,17,True,16.0,12.0,1.0,,0.0,4.0,4.0,8.0,12.0,,,,,,,,30.0,19.0,6.3,5.0,68.197082948004,7.0,53.846464570191,,"{'original': 6.3, 'alternative': 6.5}",1,-0.04,0.11,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,75.0,,,,,,1.0,,,,,,,,,,1.0,19.866265952895,39.044772570827,2.0,,1.0,,,-0.01,,,,1.0,,,,
14015567,away,308176,FK IMT Beograd,229722,Farid Boulaya,farid-boulaya,M,37,True,7.0,4.0,,,0.0,4.0,4.0,0.0,3.0,2.0,,2.0,1.0,,,,29.0,13.0,6.6,5.0,67.513542614648,6.0,47.089820884231,,"{'original': 6.6, 'alternative': 6.6}",0,0.0,0.27,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,57.14285714285714,,100.0,100.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,14.166729248865,32.988565441436,2.0,1.0,1.0,,,,1.0,,,,,,,
14015567,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,2.0,1.0,,,0.0,,,1.0,2.0,2.0,,,,1.0,,,10.0,3.0,6.6,1.0,8.1899782661494,1.0,7.1783935995297,,"{'original': 6.6, 'alternative': 6.5}",0,-0.01,0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,50.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015567,away,1210144,FK IMT Beograd,2319703,Aleksa Mitić,aleksa-mitic,F,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,915043,Iván Martos,ivan-martos,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,away,308176,FK IMT Beograd,836919,Stefan Šapić,stefan-sapic,D,65,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
