match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,shotValueNormalized,totalContest,wasFouled,fouls,outfielderBlock,penaltyConceded,aerialLost,dispossessed,onTargetScoringAttempt,accurateCross,wonContest,bigChanceMissed,blockedScoringAttempt,goals,bigChanceCreated,errorLeadToAGoal,totalOffside,penaltyWon
14015548,away,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,27.0,22.0,1.0,1.0,0.0,10.0,10.0,12.0,17.0,3.0,,,,53.0,44.0,7.2,11.0,109.74164060633,11.0,-78.435,2.1,,"{'original': 7.2, 'alternative': 7.6}",1,0.35,0.28,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,6,1,81.48148148148148,100.0,50.0,75.0,,6.0,,2.0,6.0,,1.0,,,1.0,1.0,2.0,4.0,-0.15,4.0,2.0,,,,1.0,,,3.0,3.0,,,,,,,
14015548,away,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,23.0,17.0,1.0,1.0,0.0,4.0,6.0,13.0,17.0,4.0,,,,82.0,42.0,7.5,14.0,163.31287767559,12.0,-127.575,0.315,,"{'original': 7.5, 'alternative': 7.3}",1,-0.52,0.59,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,73.91304347826086,100.0,20.0,50.0,,5.0,,4.0,3.0,,,,1.0,,,,1.0,0.51,6.0,,,,,,1.0,1.0,1.0,3.0,,,1.0,1.0,,,
14015548,away,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,13.0,11.0,,,0.0,5.0,5.0,6.0,8.0,1.0,,,,73.0,28.0,8.4,8.0,26.552577931126,5.0,-3.045,3.885,,"{'original': 8.4, 'alternative': 8.3}",4,-0.02,-0.29,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,84.61538461538461,,,,,,,9.0,3.0,,2.0,1.0,,1.0,1.0,2.0,1.0,0.92,3.0,2.0,1.0,,,4.0,1.0,2.0,,,,,2.0,1.0,,,
14015548,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,35.0,30.0,4.0,4.0,0.0,15.0,18.0,15.0,17.0,,,,,37.0,44.0,7.5,8.0,51.958959641097,5.0,-31.92,-1.05,,"{'original': 7.5, 'alternative': 7.3}",1,0.25,0.07,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,85.71428571428571,100.0,,,,1.0,,1.0,3.0,1.0,,1.0,,3.0,1.0,2.0,,0.32,,,,,,,,1.0,,,,,1.0,,,,
14015548,away,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,True,27.0,24.0,1.0,1.0,0.0,15.0,16.0,9.0,11.0,4.0,,,,37.0,29.0,6.5,3.0,58.43078533432,5.0,22.575,35.28,,"{'original': 6.5, 'alternative': 6.4}",0,-0.07,0.17,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,88.88888888888889,100.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,
14015548,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,7.0,3.0,,,0.0,3.0,4.0,,3.0,1.0,,,,17.0,7.0,6.1,4.0,,,,,,"{'original': 6.1, 'alternative': 6.4}",0,-0.46,,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,42.857142857142854,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
14015548,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,5.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,,,,,8.0,9.0,6.6,3.0,54.222702408363,3.0,-30.555,-2.415,,"{'original': 6.6, 'alternative': 6.8}",1,-0.17,0.29,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,60.0,100.0,,,,,,,1.0,,1.0,,,1.0,,1.0,,-0.44,,,,,,,,,,,,,,,,,
14015548,away,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,12.0,10.0,3.0,2.0,0.0,6.0,6.0,4.0,6.0,1.0,,,,8.0,15.0,6.7,3.0,46.14480685739,4.0,-11.34,3.36,,"{'original': 6.7, 'alternative': 6.6}",0,0.02,0.14,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,83.33333333333334,66.66666666666666,,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
14015548,away,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015548,away,24356,FK Partizan,1409357,Ivan Vasiljević,ivan-vasiljevic,D,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015548,away,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015548,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
