match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,totalContest,wonContest,interceptionWon,unsuccessfulTouch,fouls,totalOffside,aerialLost,challengeLost,shotOffTarget,outfielderBlock,totalTackle,wonTackle,wasFouled,penaltyWon,shotValueNormalized,bigChanceMissed,onTargetScoringAttempt,penaltyConceded,keyPass,accurateCross,bigChanceCreated,blockedScoringAttempt,dispossessed,goals,errorLeadToAShot,errorLeadToAGoal,crossNotClaimed,hitWoodwork
14015484,away,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,F,4,False,20.0,16.0,1.0,1.0,0.0,7.0,7.0,9.0,13.0,,4.0,,1.0,,,,,,66.0,32.0,6.8,8.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.07,0.19,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,80.0,100.0,,50.0,,1.0,5.0,2.0,1.0,1.0,2.0,,1.0,3.0,1.0,,,1.0,1.0,2.0,,,,,,1.0,,1.0,,,,,,,
14015484,away,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,F,7,False,19.0,14.0,1.0,1.0,0.0,4.0,5.0,10.0,14.0,,4.0,,4.0,,,,,,90.0,41.0,7.2,15.0,,"{'original': 7.2, 'alternative': 7.2}",4,-0.09,0.38,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,4,5,73.68421052631578,100.0,,40.0,,1.0,5.0,5.0,2.0,,3.0,,1.0,,,1.0,,1.0,,1.0,,-0.56,1.0,2.0,,3.0,,1.0,1.0,2.0,,,,,1.0
14015484,away,111127,FK Radnik Surdulica,356190,Borko Duronjić,borko-duronjic,M,11,True,7.0,5.0,,,0.0,1.0,1.0,4.0,6.0,,1.0,1.0,1.0,,,,,,38.0,21.0,6.5,10.0,,"{'original': 6.5, 'alternative': 6.7}",1,-0.16,-0.11,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,71.42857142857143,,,,,3.0,2.0,1.0,,1.0,4.0,,1.0,1.0,,,,,,1.0,,-0.18,,1.0,,,,,,,,,,,
14015484,away,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,23.0,18.0,2.0,1.0,0.0,8.0,9.0,10.0,14.0,1.0,4.0,1.0,2.0,,,,,,24.0,31.0,6.9,8.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.09,-0.07,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,78.26086956521739,50.0,,100.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
14015484,away,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,13.0,11.0,5.0,3.0,0.0,2.0,2.0,9.0,11.0,1.0,1.0,,3.0,,,,,,24.0,16.0,6.8,3.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.12,-0.77,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,84.61538461538461,60.0,,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
14015484,away,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,True,5.0,4.0,,,0.0,,,4.0,5.0,,,,,,,,,,8.0,12.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.09,-0.52,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015484,away,287019,FK Radnik Surdulica,999008,Stephen Chinedu,chinedu-stephen,F,77,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015484,away,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015484,away,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,F,24,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015484,away,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015484,away,111127,FK Radnik Surdulica,954756,Stefan Ilić,stefan-ilic,G,26,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015484,away,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015484,away,241802,FK Radnik Surdulica,357742,Pedro Empis,empis-pedro,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
