match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,totalTackle,wonTackle,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,aerialLost,aerialWon,onTargetScoringAttempt,goals,challengeLost,outfielderBlock,interceptionWon,wasFouled,blockedScoringAttempt,totalOffside,bigChanceCreated,bigChanceMissed,goodHighClaim,punches,lastManTackle,errorLeadToAShot
14015564,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,False,9.0,3.0,,,0.0,1.0,4.0,2.0,5.0,1.0,2.0,,,45.0,13.0,6.2,8.0,34.605860403133,4.0,10.185,12.81,,"{'original': 6.2, 'alternative': 6.5}",0,-0.22,0.09,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,33.33333333333333,,,,,,,4.0,1.0,,,,,,,,2.0,14.799792025566,1.0,,,2.0,1.0,,,,,,1.0,,,,,,,,
14015564,away,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,True,50.0,39.0,2.0,,0.0,15.0,17.0,24.0,33.0,2.0,,,,45.0,56.0,6.9,11.0,172.1511909922,20.0,25.095,12.18,,"{'original': 6.9, 'alternative': 7.1}",2,0.0,0.06,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,3,1,78.0,,,,,,,2.0,7.0,,,,1.0,1.0,2.0,2.0,,,,,-0.4,1.0,4.0,,,1.0,,,1.0,1.0,,,,,,,
14015564,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,35.0,28.0,3.0,1.0,0.0,13.0,13.0,15.0,22.0,4.0,,,,45.0,46.0,6.7,10.0,110.64050250695,13.0,15.96,13.125,,"{'original': 6.7, 'alternative': 7.4}",1,0.13,0.08,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,80.0,33.33333333333333,57.14285714285714,,,7.0,4.0,1.0,2.0,,,,1.0,,1.0,,,,,4.0,0.0,1.0,,,,,,,1.0,,,,,,,,
14015564,away,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,26.0,20.0,3.0,,0.0,8.0,11.0,12.0,15.0,3.0,1.0,,,45.0,44.0,6.7,7.0,95.868889884412,10.0,37.17,16.065,,"{'original': 6.7, 'alternative': 6.9}",0,-0.01,0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,76.92307692307693,,,,,,,3.0,4.0,,,,,3.0,3.0,3.0,1.0,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,
14015564,away,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,3.0,2.0,,,0.0,,,2.0,3.0,,2.0,,,32.0,10.0,6.3,4.0,15.260945932544,2.0,1.995,4.2,,"{'original': 6.3, 'alternative': 6.6}",1,-0.14,0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,66.66666666666666,,,100.0,,,,2.0,3.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,
14015564,away,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,8.0,6.0,2.0,1.0,0.0,1.0,2.0,5.0,6.0,,,,,8.0,12.0,6.6,4.0,74.561734220288,7.0,22.575,13.02,,"{'original': 6.6, 'alternative': 6.6}",0,0.08,0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,75.0,50.0,50.0,,,2.0,1.0,2.0,,,1.0,,,,,,,15.852896769991,1.0,,,1.0,,,,,,,,,,,,,,,
14015564,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015564,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015564,away,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015564,away,24356,FK Partizan,1409357,Ivan Vasiljević,ivan-vasiljevic,D,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
