match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,shotOffTarget,outfielderBlock,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,errorLeadToAGoal,wonContest,keyPass,accurateCross,bigChanceCreated,onTargetScoringAttempt,goals,blockedScoringAttempt,unsuccessfulTouch,totalOffside,punches
14015581,away,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,17.0,15.0,,,0.0,6.0,8.0,9.0,9.0,,2.0,,,,,,69.0,34.0,6.5,12.0,92.597750712285,10.0,26.053092934755,2.0,,"{'original': 6.5, 'alternative': 7.1}",2,-0.08,0.39,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,88.23529411764706,,28.57142857142857,,,7.0,,,1.0,1.0,,,1.0,,,,1.0,,,,12.435129331578,24.302651974153,-0.02,,,1.0,2.0,,1.0,,1.0,1.0,,
14015581,away,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,M,77,False,22.0,16.0,,,0.0,5.0,8.0,11.0,14.0,,3.0,,,,,,81.0,49.0,6.4,17.0,134.59117242751,16.0,35.500878556459,1.0,,"{'original': 6.4, 'alternative': 6.8}",3,0.06,0.0,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,7,6,72.72727272727273,,33.33333333333333,50.0,,3.0,1.0,1.0,7.0,8.0,,1.0,4.0,1.0,3.0,2.0,2.0,3.0,,,16.892373743398,17.783468981051,-0.53,,2.0,1.0,1.0,,,,3.0,6.0,,
14015581,away,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,10.0,8.0,,,0.0,5.0,5.0,3.0,5.0,,2.0,,,,,,81.0,17.0,7.7,2.0,54.838080107699,4.0,42.229288181664,1.0,,"{'original': 7.7, 'alternative': 7.3}",1,-0.11,0.34,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,80.0,,,,,,2.0,2.0,3.0,3.0,1.0,,,1.0,1.0,,,,,,31.492189522364,32.493135413499,0.51,,,,,,1.0,1.0,,,2.0,
14015581,away,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,M,8,True,7.0,2.0,2.0,,0.0,1.0,2.0,1.0,5.0,1.0,,,,,,,21.0,20.0,6.8,7.0,14.953822273199,3.0,-13.269206000833,0.0,,"{'original': 6.8, 'alternative': 6.7}",0,-0.31,-0.27,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,6,1,28.57142857142857,,,,,1.0,1.0,,2.0,6.0,,,1.0,,4.0,2.0,2.0,,,,,,,,,,,,,,,,,
14015581,away,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,8.0,5.0,,,0.0,,2.0,5.0,6.0,1.0,,,,,,,21.0,13.0,6.5,4.0,14.271678247494,1.0,-8.4250845184016,0.0,,"{'original': 6.5, 'alternative': 6.7}",0,-0.24,0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,62.5,,,100.0,,,1.0,,2.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,
14015581,away,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,5.0,5.0,,,0.0,3.0,3.0,2.0,2.0,,,,,,,,17.0,14.0,6.6,5.0,24.905362537304,4.0,12.790113061566,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.03,0.01,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,100.0,,,,,2.0,,2.0,3.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
14015581,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,4.0,3.0,,,0.0,1.0,1.0,2.0,3.0,,1.0,,,,,,9.0,9.0,6.7,4.0,28.253409139343,3.0,19.995278339795,1.0,,"{'original': 6.7, 'alternative': 6.7}",1,-0.07,0.12,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,75.0,,,,,2.0,,,,1.0,,,,,1.0,,,,1.0,,6.6299722523188,7.0751255112542,-0.14,,,,,,,,,1.0,,
14015581,away,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,2.0,1.0,,,,,,9.0,8.0,6.5,3.0,3.8525265735618,1.0,3.2857823528348,0.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.01,0.01,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,50.0,,,,,,2.0,2.0,3.0,2.0,,,,,,,,1.0,1.0,,,,-0.18,,,,,,,,,2.0,,
14015581,away,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,away,43981,FK Radnički 1923,1865381,Vanja Tomic,vanja-tomic,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,away,43981,FK Radnički 1923,1468038,Miloš Mladenović,milos-mladenovic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,away,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,away,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
