match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,duelLost,duelWon,challengeLost,totalContest,outfielderBlock,totalTackle,errorLeadToAShot,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,interceptionWon,unsuccessfulTouch,fouls,aerialWon,dispossessed,bigChanceCreated,wonTackle,accurateCross,wonContest,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,shotValueNormalized,shotOffTarget,bigChanceMissed,wasFouled,penaltyWon,goals,penaltyConceded,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper
14015576,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,False,17.0,10.0,,,0.0,7.0,7.0,3.0,6.0,,,,90.0,32.0,6.9,12.0,139.88581695671,16.0,108.43966763203,3.0,,"{'original': 6.9, 'alternative': 6.8}",1,-0.16,0.47,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,3,2,58.82352941176471,,,,,3.0,10.0,,5.0,8.0,1.0,1.0,,1.0,,23.631466601152,48.423263025278,1.0,3.0,,4.0,,5.0,,1.0,1.0,,,1.0,,,-0.28,,1.0,3.0,,,,,,
14015576,away,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,True,15.0,11.0,1.0,1.0,0.0,6.0,9.0,1.0,,,,,45.0,22.0,6.5,7.0,115.15835271363,8.0,30.212986820643,1.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.17,0.15,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,73.33333333333333,100.0,,,,5.0,6.0,1.0,2.0,3.0,1.0,1.0,,3.0,,17.204900683995,17.762890417947,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,D,22,True,8.0,6.0,,,0.0,1.0,1.0,,3.0,,,,45.0,21.0,5.9,6.0,90.753402990375,10.0,53.019300395549,2.0,,"{'original': 5.9, 'alternative': 6.5}",1,-0.11,0.19,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,75.0,,,100.0,,5.0,7.0,1.0,2.0,5.0,,1.0,,2.0,,20.829634142929,35.085733661469,1.0,,,1.0,,1.0,2.0,1.0,1.0,,1.0,,1.0,,-0.09,,,1.0,,,,,,
14015576,away,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,True,18.0,16.0,1.0,,0.0,16.0,17.0,6.0,,,,,45.0,26.0,6.1,2.0,119.05859483254,15.0,0.66331765192824,0.0,,"{'original': 6.1, 'alternative': 6.3}",0,-0.01,0.02,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.88888888888889,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,True,6.0,5.0,,,0.0,2.0,2.0,,2.0,,,,19.0,10.0,6.1,2.0,36.198538272086,4.0,21.163615720745,0.0,,"{'original': 6.1, 'alternative': 6.3}",0,0.0,0.01,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,83.33333333333334,,,,,3.0,4.0,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
14015576,away,324865,FK Mladost Lučani,1865415,Jagoš Ðurković,jagos-djurkovic,M,42,True,3.0,2.0,,,0.0,2.0,2.0,,,,,,9.0,4.0,6.5,2.0,14.985939198301,3.0,5.2143294688201,0.0,,"{'original': 6.5, 'alternative': 6.3}",0,-0.03,-0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,885516,Veljko Kijevčanin,veljko-kijevcanin,M,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015576,away,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
