match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,dribbleValueNormalized,aerialWon,dispossessed,bigChanceCreated,keyPass,blockedScoringAttempt,shotValueNormalized,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,shotOffTarget
14015490,away,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,36.0,31.0,8.0,3.0,0.0,30.0,32.0,1.0,4.0,11.0,,2.0,3.0,90.0,47.0,5.5,5.0,0.2438,"{'original': 5.5, 'alternative': 5.6}",0,0.04,-0.67,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,86.11111111111111,37.5,,,100.0,,,,,,,,,1.0,,,,,,,,0.01,,,,,,,,,,,1.0,2.0,2.0,
14015490,away,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,D,8,False,44.0,36.0,8.0,4.0,1.0,20.0,25.0,16.0,19.0,7.0,,,,90.0,67.0,6.6,12.0,,"{'original': 6.6, 'alternative': 7}",0,0.33,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,81.81818181818183,50.0,66.66666666666666,,,3.0,2.0,1.0,2.0,4.0,,,,3.0,2.0,2.0,1.0,1.0,1.0,3.0,,0.1,,1.0,1.0,2.0,,,,,,,,,,
14015490,away,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,53.0,46.0,8.0,4.0,0.0,30.0,31.0,16.0,22.0,4.0,,,,90.0,73.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.19,-0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,4,2,86.79245283018868,50.0,,,,,,,2.0,9.0,,,,6.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,0.1,5.0,,,,,,,,,,,,,
14015490,away,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,False,69.0,59.0,4.0,2.0,0.0,45.0,50.0,14.0,19.0,4.0,,,,90.0,87.0,6.1,12.0,,"{'original': 6.1, 'alternative': 6.4}",0,-0.19,-0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,85.5072463768116,50.0,,,,,,2.0,4.0,4.0,,,,10.0,1.0,,1.0,1.0,2.0,,2.0,0.2,3.0,,,,,,,,,,,,,
14015490,away,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,D,50,False,37.0,31.0,2.0,,0.0,14.0,17.0,17.0,20.0,7.0,,,,90.0,60.0,6.2,11.0,,"{'original': 6.2, 'alternative': 6.6}",0,0.0,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,83.78378378378379,,,100.0,,4.0,,1.0,3.0,4.0,1.0,1.0,1.0,6.0,2.0,,,,1.0,2.0,2.0,0.16,1.0,,,,,,,,,,,,,
14015490,away,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,M,27,False,53.0,47.0,3.0,1.0,0.0,20.0,22.0,27.0,31.0,4.0,,,,90.0,69.0,6.7,9.0,,"{'original': 6.7, 'alternative': 7}",1,0.13,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,88.67924528301887,33.33333333333333,,100.0,,1.0,,1.0,3.0,3.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,0.13,,1.0,1.0,1.0,,0.0,,,,,,,,1.0
14015490,away,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,29.0,26.0,1.0,1.0,0.0,12.0,13.0,14.0,16.0,3.0,,,,45.0,38.0,7.7,5.0,,"{'original': 7.7, 'alternative': 7.3}",1,-0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,89.65517241379311,100.0,,,,,,,2.0,3.0,,,,,,1.0,1.0,1.0,,2.0,,-0.4,,2.0,,,,0.52,1.0,1.0,,,,,,
14015490,away,43981,FK Radnički 1923,971009,António Pina Gomes,pina-gomes-antonio,M,11,False,3.0,1.0,,,0.0,,,1.0,3.0,,,,,15.0,6.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.4}",1,-0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,33.33333333333333,,,,,,,,2.0,,1.0,1.0,,,,,,,1.0,,,0.36,,,,,,-0.52,,,1.0,,,,,1.0
14015490,away,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,23.0,17.0,2.0,,0.0,6.0,9.0,11.0,14.0,1.0,,,,77.0,39.0,6.2,13.0,,"{'original': 6.2, 'alternative': 6.4}",2,0.03,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,73.91304347826086,,,,,2.0,,2.0,6.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,3.0,1.0,0.02,,1.0,,,,-0.02,1.0,,,,,,,1.0
14015490,away,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,30.0,24.0,1.0,,0.0,10.0,11.0,14.0,19.0,4.0,,,,77.0,56.0,6.2,16.0,,"{'original': 6.2, 'alternative': 6.5}",3,0.04,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,5,8,80.0,,,,,2.0,,,8.0,6.0,2.0,4.0,,,,2.0,2.0,1.0,3.0,3.0,1.0,0.21,1.0,1.0,,1.0,,-0.51,2.0,,,,,,,1.0
