match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,shotOffTarget,penaltyConceded,wasFouled,shotValueNormalized,aerialLost,bigChanceMissed,blockedScoringAttempt,dispossessed,totalContest,outfielderBlock,hitWoodwork,wonContest,onTargetScoringAttempt,goals,totalOffside,errorLeadToAShot,penaltyMiss,penaltyWon
14015408,away,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,24.0,20.0,3.0,2.0,0.0,7.0,8.0,13.0,16.0,1.0,3.0,,,,,,,,,79.0,45.0,6.5,14.0,,"{'original': 6.5, 'alternative': 6.8}",5,0.17,0.42,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,83.33333333333334,66.66666666666666,,33.33333333333333,,2.0,,,5.0,1.0,,,,,,5.0,2.0,3.0,2.0,,,-0.62,1.0,1.0,3.0,,3.0,1.0,,1.0,,,,,,
14015408,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,False,22.0,16.0,1.0,1.0,0.0,6.0,7.0,10.0,15.0,1.0,1.0,,,,,,,,,64.0,34.0,7.7,8.0,,"{'original': 7.7, 'alternative': 7.6}",2,-0.27,-0.35,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,3,0,72.72727272727273,100.0,,,,,,2.0,3.0,5.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,2.0,0.54,3.0,,,,,,,,1.0,1.0,,,,
14015408,away,229348,FK IMT Beograd,1516066,Irfan Zulfić,irfan-zulfic,M,80,True,8.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,7.0,,,,,,,,,,,26.0,11.0,6.2,5.0,,"{'original': 6.2, 'alternative': 6.4}",0,0.07,-0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,62.5,50.0,,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,
14015408,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,5.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,,1.0,,,,,,,,,26.0,16.0,7.2,5.0,,"{'original': 7.2, 'alternative': 7}",0,0.1,0.29,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,80.0,100.0,,100.0,,,,,2.0,4.0,,,,,,3.0,1.0,,,,3.0,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0
14015408,away,241802,FK IMT Beograd,885781,Tomislav Todorović,tomislav-todorovic,M,6,True,3.0,1.0,,,0.0,1.0,2.0,,1.0,,,,,,,,,,,11.0,4.0,6.2,3.0,,"{'original': 6.2, 'alternative': 6.2}",0,-0.08,,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,33.33333333333333,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
14015408,away,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,,,,1.0,4.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015408,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,2.0,2.0,,,0.0,,,2.0,2.0,,1.0,,,,,,,,,1.0,2.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,away,308176,FK IMT Beograd,1894508,Siniša Popović,sinisa-popovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,away,229348,FK IMT Beograd,1393501,Lazar Konstantinov,lazar-konstantinov,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015408,away,308176,FK IMT Beograd,1837599,Luka Krstović,luka-krstovic,M,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
