match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,bigChanceMissed,shotOffTarget,wasFouled,shotValueNormalized,keyPass,accurateCross,bigChanceCreated,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalOffside,blockedScoringAttempt,hitWoodwork,goals,errorLeadToAShot,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock
14015513,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,29.0,23.0,5.0,3.0,0.0,10.0,10.0,13.0,19.0,4.0,,,90.0,60.0,6.7,19.0,,"{'original': 6.7, 'alternative': 6.9}",1,-0.21,0.1,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,10,6,79.3103448275862,60.0,16.666666666666664,50.0,,6.0,,9.0,10.0,,,,2.0,1.0,2.0,,3.0,,1.0,5.0,-0.01,,1.0,,3.0,6.0,3.0,,,,,,,,,,,
14015513,away,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,False,9.0,5.0,,,0.0,,1.0,5.0,8.0,,,,79.0,16.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.6}",0,-0.11,-0.16,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,0,1,55.55555555555556,,,,,,2.0,4.0,2.0,,2.0,1.0,,,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,True,5.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,,,21.0,15.0,6.7,7.0,,"{'original': 6.7, 'alternative': 6.7}",0,-0.03,0.09,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,80.0,100.0,,100.0,,3.0,,2.0,3.0,,,,,,,1.0,,,,1.0,,,,,1.0,2.0,2.0,,,,,,,,,,,
14015513,away,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,True,9.0,5.0,2.0,1.0,0.0,2.0,2.0,3.0,7.0,,,,21.0,12.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.3}",0,0.0,0.0,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,55.55555555555556,50.0,,,,,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
14015513,away,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,True,5.0,2.0,,,0.0,1.0,1.0,1.0,4.0,,,,11.0,9.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.8}",1,-0.24,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,40.0,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,0.21,,,,,,,1.0,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,away,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,away,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015513,away,282203,FK Železničar Pančevo,1479042,Đorđe Glavinić,dorde-glavinic,F,24,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
