match_id,team_id,team_name,team_side,accurateCross,accurateLongBalls,accuratePasses,accurateThroughBall,aerialDuelsPercentage,ballPossession,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedScoringAttempt,cornerKicks,dispossessed,diveSaves,dribblesPercentage,duelWonPercent,errorsLeadToGoal,errorsLeadToShot,expectedGoals,finalThirdEntries,finalThirdPhaseStatistic,fouledFinalThird,fouls,freeKicks,goalKicks,goalkeeperSaves,groundDuelsPercentage,highClaims,hitWoodwork,interceptionWon,offsides,passes,penaltySaves,punches,redCards,shotsOffGoal,shotsOnGoal,throwIns,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,touchesInOppBox,wonTacklePercent,yellowCards
14015433,25736,FK Novi Pazar,away,1,21,198,0.0,20,37,61,4.0,3.0,1.0,3,0,14,,7,49,,,1.57,66,53,3.0,14,11,12,5.0,40,1.0,0,16,4.0,313,1.0,1.0,,5,2,26,26,9,10,1,23,20,15,3.0
14015435,5153,OFK Beograd,home,4,24,267,2.0,8,42,45,1.0,,1.0,2,6,4,2.0,5,41,,,0.99,73,92,1.0,14,11,10,5.0,22,1.0,0,9,1.0,350,,2.0,1.0,3,1,18,37,4,6,2,7,14,5,1.0
14015435,7771,FK Mladost Lučani,away,7,23,395,0.0,18,58,44,0.0,,0.0,4,6,3,0.0,5,59,,,1.06,76,154,1.0,11,14,4,0.0,26,0.0,1,10,0.0,467,,0.0,0.0,8,6,20,23,12,18,6,9,32,7,2.0
14015436,5150,FK Vojvodina,home,5,20,281,,9,41,52,2.0,,2.0,0,4,7,1.0,9,47,,,1.23,64,76,1.0,17,11,5,1.0,39,,1,12,2.0,356,,0.0,,6,2,21,23,5,8,3,19,18,14,0.0
14015436,263360,FK TSC Bačka Topola,away,2,23,431,,12,59,43,0.0,,0.0,3,3,10,0.0,10,53,,,0.53,86,92,0.0,11,17,7,0.0,43,,0,9,2.0,524,,1.0,,3,1,28,17,5,7,2,16,18,10,2.0
14015437,263360,FK TSC Bačka Topola,home,0,27,456,1.0,8,65,48,1.0,0.0,1.0,3,5,10,2.0,10,45,,1.0,0.89,67,93,3.0,19,9,8,3.0,30,1.0,0,8,2.0,540,,1.0,,3,2,20,20,3,8,5,11,8,8,2.0
14015437,5144,FK Javor Ivanjica,away,6,25,200,0.0,12,35,51,2.0,1.0,1.0,3,8,3,0.0,3,55,,0.0,2.03,47,40,1.0,9,19,7,0.0,35,0.0,0,15,4.0,279,,1.0,,6,5,12,20,11,14,3,13,28,6,2.0
14015439,7771,FK Mladost Lučani,home,3,24,234,,21,35,33,1.0,1.0,,2,5,4,,1,54,,1.0,1.02,53,30,0.0,8,12,21,3.0,20,0.0,1,12,1.0,321,,1.0,,3,0,18,41,4,5,1,8,15,4,0.0
14015439,5150,FK Vojvodina,away,10,40,492,,14,65,46,3.0,3.0,,2,7,4,,6,46,,0.0,1.84,93,140,1.0,12,8,7,0.0,21,1.0,0,6,1.0,566,,0.0,,14,3,16,22,12,19,7,7,31,5,1.0
14015440,5148,FK Čukarički,home,8,28,348,0.0,14,51,57,3.0,3.0,0.0,1,1,12,,4,39,0.0,1.0,1.64,63,108,3.0,15,7,4,4.0,22,2.0,0,6,1.0,416,,,1.0,14,3,21,23,13,18,5,11,22,8,1.0
