match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,aerialLost,dispossessed,onTargetScoringAttempt,shotValueNormalized,bigChanceMissed,shotOffTarget,outfielderBlock,totalContest,wonContest,blockedScoringAttempt,bigChanceCreated,totalOffside,savedShotsFromInsideTheBox,saves,keeperSaveValue,goalkeeperValueNormalized,hitWoodwork
14015568,away,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,False,14.0,11.0,,,0.0,6.0,6.0,5.0,8.0,4.0,63.0,25.0,6.9,5.0,77.934921352706,8.0,32.915555176849,"{'original': 6.9, 'alternative': 6.9}",0,-0.05,0.06,0.19,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,6,1,78.57142857142857,,,100.0,,,,,1.0,6.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,19.282551207716,24.46549572357,1.0,,,,,,,,,2.0,2.0,,,,,,,,
14015568,away,25737,FK Radnički Niš,370644,Gboly Ariyibi,gboly-ariyibi,M,11,False,10.0,9.0,,,0.0,3.0,4.0,6.0,6.0,2.0,86.0,35.0,7.0,12.0,168.88095157053,15.0,65.937043108802,"{'original': 7, 'alternative': 7}",2,-0.16,0.27,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,9,5,90.0,,,50.0,,3.0,,,6.0,9.0,,1.0,,3.0,2.0,3.0,4.0,,20.385785034894,87.871774830666,5.0,1.0,1.0,3.0,,0.01,,1.0,,4.0,2.0,1.0,,,,,,,1.0
14015568,away,25737,FK Radnički Niš,1000276,Aleksandr Shestyuk,aleksandr-shestyuk,F,9,False,11.0,4.0,,,0.0,2.0,3.0,2.0,8.0,2.0,59.0,17.0,6.4,9.0,40.652660902952,5.0,-20.757254307946,"{'original': 6.4, 'alternative': 6.6}",0,-0.26,0.08,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,36.36363636363637,,,100.0,,,,1.0,3.0,3.0,,1.0,,,,1.0,1.0,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,
14015568,away,25737,FK Radnički Niš,873419,Issah Abass,abass-issah,F,8,True,10.0,2.0,1.0,,0.0,1.0,3.0,1.0,7.0,3.0,31.0,19.0,6.6,11.0,45.176791532508,5.0,35.24615865235,"{'original': 6.6, 'alternative': 6.6}",0,-0.11,0.06,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,20.0,,,,,2.0,,1.0,3.0,2.0,1.0,1.0,,,,,1.0,1.0,20.000161322547,20.643035532595,1.0,,,1.0,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,True,3.0,2.0,1.0,,0.0,2.0,2.0,,1.0,1.0,27.0,8.0,6.7,2.0,,,,"{'original': 6.7, 'alternative': 6.7}",0,0.0,,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,,,,,,,,1.0,,1.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,23,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,1.0,11.0,5.0,6.7,1.0,7.4995253849827,1.0,6.8770344561118,"{'original': 6.7, 'alternative': 6.6}",0,0.03,0.03,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,1384025,Lamonth Rochester,lamonth-rochester,D,14,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,989351,Ranko Jokić,ranko-jokic,D,3,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,2456158,Petar Maslovarić,petar-maslovaric,G,91,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015568,away,25737,FK Radnički Niš,987906,Oleg Nikiforenko,oleg-nikiforenko,M,7,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
