match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,shotOffTarget,interceptionWon,shotValueNormalized,dispossessed,errorLeadToAShot,bigChanceCreated,blockedScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalContest,wonContest,onTargetScoringAttempt,lastManTackle,bigChanceMissed,goals,penaltyConceded,challengeLost,punches,outfielderBlock,totalOffside,penaltyWon,penaltyMiss
14015595,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,14.0,12.0,2.0,2.0,0.0,7.0,9.0,5.0,5.0,1.0,,,,,90.0,23.0,6.6,2.0,29.59021777299,5.0,-12.197499659265,0.0,,"{'original': 6.6, 'alternative': 6.5}",2,0.02,-0.25,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,3,0,85.71428571428571,100.0,100.0,,,1.0,1.0,,4.0,3.0,2.0,2.0,,,1.0,,4.0,1.0,,0.0,,,,,,,,,,1.0,,1.0,,,,,,,,
14015595,away,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,15.0,8.0,1.0,,0.0,3.0,6.0,5.0,9.0,2.0,,,,,77.0,25.0,5.5,12.0,47.334252851442,10.0,3.1070655099668,0.0,,"{'original': 5.5, 'alternative': 5.9}",1,0.01,0.02,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,53.333333333333336,,25.0,,,4.0,1.0,,7.0,2.0,,,,,2.0,,3.0,,,-0.89,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,2.0,,,,,1.0
14015595,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,False,10.0,5.0,,,0.0,2.0,3.0,3.0,7.0,,,,,,77.0,25.0,6.0,13.0,36.322555468664,6.0,11.243231608504,0.0,,"{'original': 6, 'alternative': 6.4}",0,-0.17,0.1,0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,8,7,2,5,50.0,,,,,,,1.0,12.0,3.0,3.0,1.0,1.0,5.0,1.0,3.0,7.0,,,,,,,,,,1.0,3.0,,,,,,,,,1.0,,,
14015595,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,True,8.0,5.0,,,0.0,2.0,3.0,3.0,5.0,2.0,,,,,41.0,16.0,7.0,5.0,9.4692851959244,2.0,0.45986446218982,0.0,,"{'original': 7, 'alternative': 6.8}",0,0.42,0.02,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,62.5,,100.0,,,1.0,1.0,,2.0,4.0,,1.0,1.0,2.0,3.0,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,39733,Sebastian Polter,sebastian-polter,F,91,True,12.0,8.0,,,0.0,3.0,3.0,5.0,9.0,1.0,,,,,13.0,13.0,6.8,4.0,58.764873797684,6.0,26.417318442319,1.0,,"{'original': 6.8, 'alternative': 6.4}",1,0.04,0.08,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,66.66666666666666,,,,,,,4.0,,4.0,,,,,,,,1.0,,-0.56,,,,,17.123686380685,17.887393214217,,,,,,1.0,,,,,,,,
14015595,away,37125,FK Partizan,2235877,Marko Lekić,marko-lekic,F,46,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,13.0,3.0,6.6,,,,,,,"{'original': 6.6, 'alternative': 6.5}",0,0.04,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,100.0,,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,True,1.0,1.0,,,0.0,1.0,1.0,,0.0,,,,,,9.0,5.0,6.6,3.0,24.271493129096,3.0,9.970497365662,1.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.0,0.29,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,9.3763290244236,9.4561144240116,,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,4.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,,,,,,9.0,6.0,6.6,2.0,19.746025558848,3.0,1.6798977401101,0.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.0,-0.15,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,100.0,100.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015595,away,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015595,away,37125,FK Partizan,1584966,Dušan Makević,dusan-makevic,D,88,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
