match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,wasFouled,keyPass,challengeLost,shotOffTarget,outfielderBlock,shotValueNormalized,ownGoals,fouls,blockedScoringAttempt,accurateCross,totalTackle,wonTackle,unsuccessfulTouch,onTargetScoringAttempt,goals,totalOffside,clearanceOffLine,punches,bigChanceMissed,bigChanceCreated
14015530,home,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,12.0,9.0,,,0.0,3.0,3.0,6.0,9.0,3.0,2.0,,,,,,90.0,31.0,7.9,13.0,114.02513669809,9.0,102.27,22.575,,"{'original': 7.9, 'alternative': 7.3}",1,-0.11,0.29,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,1,4,75.0,,,,,3.0,4.0,3.0,8.0,4.0,3.0,1.0,,1.0,1.0,1.0,,,,0.52,,,,,,,3.0,1.0,1.0,1.0,,,,
14015530,home,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,23.0,14.0,2.0,,0.0,5.0,11.0,9.0,12.0,3.0,1.0,,,,,,45.0,32.0,6.7,10.0,20.295385854586,3.0,-10.71,1.995,,"{'original': 6.7, 'alternative': 6.6}",0,0.05,0.01,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,60.86956521739131,,,,,,2.0,2.0,4.0,4.0,1.0,,,1.0,,,,,1.0,,,1.0,,,2.0,,,,,,,,,
14015530,home,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,D,44,True,17.0,11.0,4.0,1.0,0.0,5.0,6.0,6.0,11.0,5.0,,,,,,,45.0,36.0,7.2,10.0,22.650967647975,5.0,2.52,7.14,,"{'original': 7.2, 'alternative': 7.3}",0,0.01,0.01,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,8,2,0,2,64.70588235294117,25.0,,,,1.0,5.0,3.0,7.0,3.0,1.0,,,1.0,,,,,2.0,,,1.0,,,,,,,,,1.0,,,
14015530,home,7674,FK Napredak Kruševac,267473,Nebojša Bastajić,nebojsa-bastajic,F,12,True,5.0,4.0,,,0.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,,,24.0,7.0,6.6,1.0,16.634680185815,3.0,4.935,3.675,,"{'original': 6.6, 'alternative': 6.5}",0,0.01,-0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,80.0,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,
14015530,home,37064,FK Napredak Kruševac,799015,Lazar Zličić,lazar-zlicic,M,23,True,8.0,4.0,,,1.0,1.0,1.0,3.0,7.0,,1.0,,,,,,42.0,15.0,7.5,7.0,26.19942719917,4.0,13.65,9.03,,"{'original': 7.5, 'alternative': 7.4}",0,0.26,-0.02,0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,50.0,,,,,1.0,2.0,2.0,4.0,4.0,,1.0,,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,
14015530,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,21.0,8.0,6.6,4.0,22.372334660365,2.0,13.755,7.455,,"{'original': 6.6, 'alternative': 6.6}",0,-0.01,0.06,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,66.66666666666666,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,
14015530,home,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015530,home,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015530,home,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015530,away,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,18.0,12.0,11.0,5.0,0.0,7.0,10.0,5.0,8.0,1.0,4.0,,,,,,90.0,22.0,6.6,6.0,50.834008465124,4.0,-2.415,13.125,,"{'original': 6.6, 'alternative': 6.4}",0,0.1,0.0,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,45.45454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
