match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,dispossessed,keyPass,blockedScoringAttempt,shotOffTarget,bigChanceCreated
14147343,home,2414,FK Budućnost Podgorica,976992,Luka Štor,luka-stor,F,70,False,15.0,9.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,46.0,20.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,60.0,100.0,0.0,,,9.0,13.0,,,,,
14147343,home,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,M,77,True,14.0,9.0,2.0,2.0,0.0,3.0,4.0,2.0,0.0,0.0,3.0,3.0,10.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,44.0,31.0,7.2,8.0,0.01,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,7,3,64.28571428571429,100.0,0.0,85.71428571428571,,6.0,10.0,,,1.0,,
14147343,home,241802,FK Budućnost Podgorica,843228,Leonel Strumia,leonel-strumia,M,92,True,33.0,29.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,44.0,42.0,7.0,3.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,3,8,87.87878787878788,,,,,11.0,14.0,,,,,
14147343,home,5143,FK Budućnost Podgorica,894403,Ivan Bulatović,ivan-bulatovic,F,11,True,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,,44.0,15.0,7.4,5.0,0.35,0.0,"{'original': 7.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,3,6,100.0,,,100.0,,2.0,2.0,2.0,,,1.0,
14147343,home,5143,FK Budućnost Podgorica,357712,Zoran Petrović,zoran-petrovic,M,25,True,15.0,13.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,27.0,19.0,6.7,1.0,0.0,0.08,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,86.66666666666667,,33.33333333333333,50.0,,12.0,13.0,,1.0,,,
14147343,home,5143,FK Budućnost Podgorica,1606673,Lazar Savović,lazar-savovic,M,22,True,6.0,5.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,8.0,10.0,7.8,2.0,0.0,0.33,"{'original': 7.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,5,0,83.33333333333334,,,100.0,,2.0,2.0,,1.0,,,1.0
14147343,home,5143,FK Budućnost Podgorica,808561,Ljubomir Đurović,ljubomir-djurovic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147343,home,241802,FK Budućnost Podgorica,57537,Vladan Adžić,vladan-adzic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147343,home,7727,FK Budućnost Podgorica,57729,Luka Mirković,luka-mirkovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147343,home,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
